SuperWEB2(tm)

"Всероссийская перепись населения 2002 года"
"Лицо и Наименование территориальной единицы по Год рождения"
"Подсчет: Лицо"

"Counting";"Наименование территориальной единицы";"Год рождения";
"Лицо";"Республика Карелия";"Год рождения не указан";0
"Лицо";"Республика Карелия";"До 1903 года";0
"Лицо";"Республика Карелия";"1903";0
"Лицо";"Республика Карелия";"1904";0
"Лицо";"Республика Карелия";"1905";0
"Лицо";"Республика Карелия";"1906";0
"Лицо";"Республика Карелия";"1907";0
"Лицо";"Республика Карелия";"1908";0
"Лицо";"Республика Карелия";"1909";0
"Лицо";"Республика Карелия";"1910";0
"Лицо";"Республика Карелия";"1911";0
"Лицо";"Республика Карелия";"1912";0
"Лицо";"Республика Карелия";"1913";0
"Лицо";"Республика Карелия";"1914";0
"Лицо";"Республика Карелия";"1915";0
"Лицо";"Республика Карелия";"1916";0
"Лицо";"Республика Карелия";"1917";0
"Лицо";"Республика Карелия";"1918";0
"Лицо";"Республика Карелия";"1919";0
"Лицо";"Республика Карелия";"1920";0
"Лицо";"Республика Карелия";"1921";0
"Лицо";"Республика Карелия";"1922";0
"Лицо";"Республика Карелия";"1923";0
"Лицо";"Республика Карелия";"1924";0
"Лицо";"Республика Карелия";"1925";0
"Лицо";"Республика Карелия";"1926";0
"Лицо";"Республика Карелия";"1927";0
"Лицо";"Республика Карелия";"1928";0
"Лицо";"Республика Карелия";"1929";0
"Лицо";"Республика Карелия";"1930";0
"Лицо";"Республика Карелия";"1931";0
"Лицо";"Республика Карелия";"1932";0
"Лицо";"Республика Карелия";"1933";0
"Лицо";"Республика Карелия";"1934";0
"Лицо";"Республика Карелия";"1935";0
"Лицо";"Республика Карелия";"1936";0
"Лицо";"Республика Карелия";"1937";0
"Лицо";"Республика Карелия";"1938";0
"Лицо";"Республика Карелия";"1939";0
"Лицо";"Республика Карелия";"1940";0
"Лицо";"Республика Карелия";"1941";0
"Лицо";"Республика Карелия";"1942";0
"Лицо";"Республика Карелия";"1943";0
"Лицо";"Республика Карелия";"1944";0
"Лицо";"Республика Карелия";"1945";0
"Лицо";"Республика Карелия";"1946";0
"Лицо";"Республика Карелия";"1947";0
"Лицо";"Республика Карелия";"1948";0
"Лицо";"Республика Карелия";"1949";0
"Лицо";"Республика Карелия";"1950";0
"Лицо";"Республика Карелия";"1951";0
"Лицо";"Республика Карелия";"1952";0
"Лицо";"Республика Карелия";"1953";0
"Лицо";"Республика Карелия";"1954";0
"Лицо";"Республика Карелия";"1955";0
"Лицо";"Республика Карелия";"1956";0
"Лицо";"Республика Карелия";"1957";0
"Лицо";"Республика Карелия";"1958";0
"Лицо";"Республика Карелия";"1959";0
"Лицо";"Республика Карелия";"1960";0
"Лицо";"Республика Карелия";"1961";0
"Лицо";"Республика Карелия";"1962";0
"Лицо";"Республика Карелия";"1963";0
"Лицо";"Республика Карелия";"1964";0
"Лицо";"Республика Карелия";"1965";0
"Лицо";"Республика Карелия";"1966";0
"Лицо";"Республика Карелия";"1967";0
"Лицо";"Республика Карелия";"1968";0
"Лицо";"Республика Карелия";"1969";0
"Лицо";"Республика Карелия";"1970";0
"Лицо";"Республика Карелия";"1971";0
"Лицо";"Республика Карелия";"1972";0
"Лицо";"Республика Карелия";"1973";0
"Лицо";"Республика Карелия";"1974";0
"Лицо";"Республика Карелия";"1975";0
"Лицо";"Республика Карелия";"1976";0
"Лицо";"Республика Карелия";"1977";0
"Лицо";"Республика Карелия";"1978";0
"Лицо";"Республика Карелия";"1979";0
"Лицо";"Республика Карелия";"1980";0
"Лицо";"Республика Карелия";"1981";0
"Лицо";"Республика Карелия";"1982";0
