SuperWEB2(tm)

"Всероссийская перепись населения 2002 года"
"Наименование территориальной единицы по Лицо и Год рождения"
"Подсчет: Лицо"

"Наименование территориальной единицы";"Counting";"Год рождения";
"Нижегородская область";"Лицо";"Год рождения не указан";0
"Нижегородская область";"Лицо";"До 1903 года";0
"Нижегородская область";"Лицо";"1903";0
"Нижегородская область";"Лицо";"1904";0
"Нижегородская область";"Лицо";"1905";0
"Нижегородская область";"Лицо";"1906";0
"Нижегородская область";"Лицо";"1907";0
"Нижегородская область";"Лицо";"1908";0
"Нижегородская область";"Лицо";"1909";0
"Нижегородская область";"Лицо";"1910";0
"Нижегородская область";"Лицо";"1911";0
"Нижегородская область";"Лицо";"1912";0
"Нижегородская область";"Лицо";"1913";0
"Нижегородская область";"Лицо";"1914";0
"Нижегородская область";"Лицо";"1915";0
"Нижегородская область";"Лицо";"1916";0
"Нижегородская область";"Лицо";"1917";0
"Нижегородская область";"Лицо";"1918";0
"Нижегородская область";"Лицо";"1919";0
"Нижегородская область";"Лицо";"1920";0
"Нижегородская область";"Лицо";"1921";0
"Нижегородская область";"Лицо";"1922";0
"Нижегородская область";"Лицо";"1923";0
"Нижегородская область";"Лицо";"1924";0
"Нижегородская область";"Лицо";"1925";0
"Нижегородская область";"Лицо";"1926";0
"Нижегородская область";"Лицо";"1927";0
"Нижегородская область";"Лицо";"1928";0
"Нижегородская область";"Лицо";"1929";0
"Нижегородская область";"Лицо";"1930";0
"Нижегородская область";"Лицо";"1931";0
"Нижегородская область";"Лицо";"1932";0
"Нижегородская область";"Лицо";"1933";0
"Нижегородская область";"Лицо";"1934";0
"Нижегородская область";"Лицо";"1935";0
"Нижегородская область";"Лицо";"1936";0
"Нижегородская область";"Лицо";"1937";0
"Нижегородская область";"Лицо";"1938";0
"Нижегородская область";"Лицо";"1939";0
"Нижегородская область";"Лицо";"1940";0
"Нижегородская область";"Лицо";"1941";0
"Нижегородская область";"Лицо";"1942";0
"Нижегородская область";"Лицо";"1943";0
"Нижегородская область";"Лицо";"1944";0
"Нижегородская область";"Лицо";"1945";0
"Нижегородская область";"Лицо";"1946";0
"Нижегородская область";"Лицо";"1947";0
"Нижегородская область";"Лицо";"1948";0
"Нижегородская область";"Лицо";"1949";0
"Нижегородская область";"Лицо";"1950";0
"Нижегородская область";"Лицо";"1951";0
"Нижегородская область";"Лицо";"1952";0
"Нижегородская область";"Лицо";"1953";0
"Нижегородская область";"Лицо";"1954";0
"Нижегородская область";"Лицо";"1955";0
"Нижегородская область";"Лицо";"1956";0
"Нижегородская область";"Лицо";"1957";0
"Нижегородская область";"Лицо";"1958";0
"Нижегородская область";"Лицо";"1959";0
"Нижегородская область";"Лицо";"1960";0
"Нижегородская область";"Лицо";"1961";0
"Нижегородская область";"Лицо";"1962";0
"Нижегородская область";"Лицо";"1963";0
"Нижегородская область";"Лицо";"1964";0
"Нижегородская область";"Лицо";"1965";0
"Нижегородская область";"Лицо";"1966";0
"Нижегородская область";"Лицо";"1967";0
"Нижегородская область";"Лицо";"1968";0
"Нижегородская область";"Лицо";"1969";0
"Нижегородская область";"Лицо";"1970";0
"Нижегородская область";"Лицо";"1971";0
"Нижегородская область";"Лицо";"1972";0
"Нижегородская область";"Лицо";"1973";0
