SuperWEB2(tm)

"Всероссийская перепись населения 2002 года"
"Наименование территориальной единицы по Лицо и Отрасль экономики"
"Подсчет: Лицо"

"Наименование территориальной единицы";"Counting";"Отрасль экономики";
"Республика Карелия";"Лицо";"Вид экономической деятельности не указан";0
"Республика Карелия";"Лицо";"Другой";0
"Республика Карелия";"Лицо";"Жилищно-коммунальное хозяйство, бытовое обслуживание населения";0
"Республика Карелия";"Лицо";"Здравоохранение и социальное обеспечение";0
"Республика Карелия";"Лицо";"Культура и искусство";0
"Республика Карелия";"Лицо";"Лесное хозяйство";0
"Республика Карелия";"Лицо";"Наука и научное обслуживание";0
"Республика Карелия";"Лицо";"Образование";0
"Республика Карелия";"Лицо";"Общественное питание";0
"Республика Карелия";"Лицо";"Оптовая и розничная торговля";0
"Республика Карелия";"Лицо";"Промышленность";0
"Республика Карелия";"Лицо";"Связь";0
"Республика Карелия";"Лицо";"Сельское хозяйство";0
"Республика Карелия";"Лицо";"Строительство";0
"Республика Карелия";"Лицо";"Транспорт";0
"Республика Карелия";"Лицо";"Управление";0
"Республика Карелия";"Лицо";"Финансы, кредит, страхование";0
"Районы Республики Карелия";"Лицо";"Вид экономической деятельности не указан";0
"Районы Республики Карелия";"Лицо";"Другой";0
"Районы Республики Карелия";"Лицо";"Жилищно-коммунальное хозяйство, бытовое обслуживание населения";0
"Районы Республики Карелия";"Лицо";"Здравоохранение и социальное обеспечение";0
"Районы Республики Карелия";"Лицо";"Культура и искусство";0
"Районы Республики Карелия";"Лицо";"Лесное хозяйство";0
"Районы Республики Карелия";"Лицо";"Наука и научное обслуживание";0
"Районы Республики Карелия";"Лицо";"Образование";0
"Районы Республики Карелия";"Лицо";"Общественное питание";0
"Районы Республики Карелия";"Лицо";"Оптовая и розничная торговля";0
"Районы Республики Карелия";"Лицо";"Промышленность";0
"Районы Республики Карелия";"Лицо";"Связь";0
"Районы Республики Карелия";"Лицо";"Сельское хозяйство";0
"Районы Республики Карелия";"Лицо";"Строительство";0
"Районы Республики Карелия";"Лицо";"Транспорт";0
"Районы Республики Карелия";"Лицо";"Управление";0
"Районы Республики Карелия";"Лицо";"Финансы, кредит, страхование";0
"Беломорский район";"Лицо";"Вид экономической деятельности не указан";3531
"Беломорский район";"Лицо";"Другой";22
"Беломорский район";"Лицо";"Жилищно-коммунальное хозяйство, бытовое обслуживание населения";133
"Беломорский район";"Лицо";"Здравоохранение и социальное обеспечение";179
"Беломорский район";"Лицо";"Культура и искусство";21
"Беломорский район";"Лицо";"Лесное хозяйство";103
"Беломорский район";"Лицо";"Наука и научное обслуживание";0
"Беломорский район";"Лицо";"Образование";249
"Беломорский район";"Лицо";"Общественное питание";31
"Беломорский район";"Лицо";"Оптовая и розничная торговля";221
"Беломорский район";"Лицо";"Промышленность";409
"Беломорский район";"Лицо";"Связь";98
"Беломорский район";"Лицо";"Сельское хозяйство";94
"Беломорский район";"Лицо";"Строительство";111
"Беломорский район";"Лицо";"Транспорт";456
"Беломорский район";"Лицо";"Управление";152
"Беломорский район";"Лицо";"Финансы, кредит, страхование";29
"Вепсская Национальная волость";"Лицо";"Вид экономической деятельности не указан";489
"Вепсская Национальная волость";"Лицо";"Другой";0
"Вепсская Национальная волость";"Лицо";"Жилищно-коммунальное хозяйство, бытовое обслуживание населения";16
"Вепсская Национальная волость";"Лицо";"Здравоохранение и социальное обеспечение";24
"Вепсская Национальная волость";"Лицо";"Культура и искусство";5
"Вепсская Национальная волость";"Лицо";"Лесное хозяйство";23
"Вепсская Национальная волость";"Лицо";"Наука и научное обслуживание";0
"Вепсская Национальная волость";"Лицо";"Образование";33
"Вепсская Национальная волость";"Лицо";"Общественное питание";6
"Вепсская Национальная волость";"Лицо";"Оптовая и розничная торговля";20
"Вепсская Национальная волость";"Лицо";"Промышленность";110
"Вепсская Национальная волость";"Лицо";"Связь";0
"Вепсская Национальная волость";"Лицо";"Сельское хозяйство";10
"Вепсская Национальная волость";"Лицо";"Строительство";9
"Вепсская Национальная волость";"Лицо";"Транспорт";6
"Вепсская Национальная волость";"Лицо";"Управление";10
"Вепсская Национальная волость";"Лицо";"Финансы, кредит, страхование";0
"Калевальский Национальный район";"Лицо";"Вид экономической деятельности не указан";1508
"Калевальский Национальный район";"Лицо";"Другой";6
"Калевальский Национальный район";"Лицо";"Жилищно-коммунальное хозяйство, бытовое обслуживание населения";57
"Калевальский Национальный район";"Лицо";"Здравоохранение и социальное обеспечение";112
"Калевальский Национальный район";"Лицо";"Культура и искусство";21
"Калевальский Национальный район";"Лицо";"Лесное хозяйство";279
"Калевальский Национальный район";"Лицо";"Наука и научное обслуживание";0
"Калевальский Национальный район";"Лицо";"Образование";133
"Калевальский Национальный район";"Лицо";"Общественное питание";13
"Калевальский Национальный район";"Лицо";"Оптовая и розничная торговля";113
"Калевальский Национальный район";"Лицо";"Промышленность";51
"Калевальский Национальный район";"Лицо";"Связь";20
"Калевальский Национальный район";"Лицо";"Сельское хозяйство";15
"Калевальский Национальный район";"Лицо";"Строительство";26
"Калевальский Национальный район";"Лицо";"Транспорт";13
"Калевальский Национальный район";"Лицо";"Управление";144
"Калевальский Национальный район";"Лицо";"Финансы, кредит, страхование";11
"Кемский район";"Лицо";"Вид экономической деятельности не указан";812
"Кемский район";"Лицо";"Другой";9
"Кемский район";"Лицо";"Жилищно-коммунальное хозяйство, бытовое обслуживание населения";35
"Кемский район";"Лицо";"Здравоохранение и социальное обеспечение";30
"Кемский район";"Лицо";"Культура и искусство";5
"Кемский район";"Лицо";"Лесное хозяйство";63
"Кемский район";"Лицо";"Наука и научное обслуживание";0
"Кемский район";"Лицо";"Образование";47
"Кемский район";"Лицо";"Общественное питание";7
"Кемский район";"Лицо";"Оптовая и розничная торговля";30
"Кемский район";"Лицо";"Промышленность";179
"Кемский район";"Лицо";"Связь";9
"Кемский район";"Лицо";"Сельское хозяйство";33
"Кемский район";"Лицо";"Строительство";7
"Кемский район";"Лицо";"Транспорт";51
"Кемский район";"Лицо";"Управление";27
"Кемский район";"Лицо";"Финансы, кредит, страхование";0
"Кондопожский район";"Лицо";"Вид экономической деятельности не указан";1368
"Кондопожский район";"Лицо";"Другой";0
"Кондопожский район";"Лицо";"Жилищно-коммунальное хозяйство, бытовое обслуживание населения";79
"Кондопожский район";"Лицо";"Здравоохранение и социальное обеспечение";118
"Кондопожский район";"Лицо";"Культура и искусство";10
"Кондопожский район";"Лицо";"Лесное хозяйство";116
"Кондопожский район";"Лицо";"Наука и научное обслуживание";0
"Кондопожский район";"Лицо";"Образование";115
"Кондопожский район";"Лицо";"Общественное питание";24
"Кондопожский район";"Лицо";"Оптовая и розничная торговля";51
"Кондопожский район";"Лицо";"Промышленность";56
"Кондопожский район";"Лицо";"Связь";52
"Кондопожский район";"Лицо";"Сельское хозяйство";196
"Кондопожский район";"Лицо";"Строительство";17
"Кондопожский район";"Лицо";"Транспорт";64
"Кондопожский район";"Лицо";"Управление";24
"Кондопожский район";"Лицо";"Финансы, кредит, страхование";0
"Лахденпохский район";"Лицо";"Вид экономической деятельности не указан";2291
"Лахденпохский район";"Лицо";"Другой";24
"Лахденпохский район";"Лицо";"Жилищно-коммунальное хозяйство, бытовое обслуживание населения";105
"Лахденпохский район";"Лицо";"Здравоохранение и социальное обеспечение";146
"Лахденпохский район";"Лицо";"Культура и искусство";32
"Лахденпохский район";"Лицо";"Лесное хозяйство";165
"Лахденпохский район";"Лицо";"Наука и научное обслуживание";0
"Лахденпохский район";"Лицо";"Образование";212
"Лахденпохский район";"Лицо";"Общественное питание";30
"Лахденпохский район";"Лицо";"Оптовая и розничная торговля";156
"Лахденпохский район";"Лицо";"Промышленность";354
"Лахденпохский район";"Лицо";"Связь";37
