SuperWEB2(tm)

"Всероссийская перепись населения 2002 года"
"Наименование территориальной единицы по Лицо и Образование"
"Подсчет: Лицо"

"Наименование территориальной единицы";"Counting";"Образование";
"Республика Карелия";"Лицо";"Не указавшие образование";0
"Республика Карелия";"Лицо";"Начальное общее (начальное)";0
"Республика Карелия";"Лицо";"Основное общее (неполное среднее)";0
"Республика Карелия";"Лицо";"Среднее (полное) общее";0
"Республика Карелия";"Лицо";"Среднее профессиональное (среднее специальное)";0
"Республика Карелия";"Лицо";"Неполное высшее профессиональное (незаконченное высшее)";0
"Республика Карелия";"Лицо";"Высшее профессиональное (высшее)";0
"Республика Карелия";"Лицо";"Послевузовское профессиональное";0
"Республика Карелия";"Лицо";"Не имеющие начального общего образования - умеющие читать и писать";0
"Республика Карелия";"Лицо";"Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)";0
"Районы Республики Карелия";"Лицо";"Не указавшие образование";0
"Районы Республики Карелия";"Лицо";"Начальное общее (начальное)";0
"Районы Республики Карелия";"Лицо";"Основное общее (неполное среднее)";0
"Районы Республики Карелия";"Лицо";"Среднее (полное) общее";0
"Районы Республики Карелия";"Лицо";"Среднее профессиональное (среднее специальное)";0
"Районы Республики Карелия";"Лицо";"Неполное высшее профессиональное (незаконченное высшее)";0
"Районы Республики Карелия";"Лицо";"Высшее профессиональное (высшее)";0
"Районы Республики Карелия";"Лицо";"Послевузовское профессиональное";0
"Районы Республики Карелия";"Лицо";"Не имеющие начального общего образования - умеющие читать и писать";0
"Районы Республики Карелия";"Лицо";"Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)";0
"Беломорский район";"Лицо";"Не указавшие образование";2556
"Беломорский район";"Лицо";"Начальное общее (начальное)";3602
"Беломорский район";"Лицо";"Основное общее (неполное среднее)";5290
"Беломорский район";"Лицо";"Среднее (полное) общее";5967
"Беломорский район";"Лицо";"Среднее профессиональное (среднее специальное)";4625
"Беломорский район";"Лицо";"Неполное высшее профессиональное (незаконченное высшее)";303
"Беломорский район";"Лицо";"Высшее профессиональное (высшее)";1336
"Беломорский район";"Лицо";"Послевузовское профессиональное";5
"Беломорский район";"Лицо";"Не имеющие начального общего образования - умеющие читать и писать";98
"Беломорский район";"Лицо";"Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)";65
"Вепсская Национальная волость";"Лицо";"Не указавшие образование";248
"Вепсская Национальная волость";"Лицо";"Начальное общее (начальное)";572
"Вепсская Национальная волость";"Лицо";"Основное общее (неполное среднее)";770
"Вепсская Национальная волость";"Лицо";"Среднее (полное) общее";754
"Вепсская Национальная волость";"Лицо";"Среднее профессиональное (среднее специальное)";571
"Вепсская Национальная волость";"Лицо";"Неполное высшее профессиональное (незаконченное высшее)";33
"Вепсская Национальная волость";"Лицо";"Высшее профессиональное (высшее)";180
"Вепсская Национальная волость";"Лицо";"Послевузовское профессиональное";0
"Вепсская Национальная волость";"Лицо";"Не имеющие начального общего образования - умеющие читать и писать";11
"Вепсская Национальная волость";"Лицо";"Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)";16
"Калевальский Национальный район";"Лицо";"Не указавшие образование";1013
"Калевальский Национальный район";"Лицо";"Начальное общее (начальное)";1653
"Калевальский Национальный район";"Лицо";"Основное общее (неполное среднее)";2351
"Калевальский Национальный район";"Лицо";"Среднее (полное) общее";2211
"Калевальский Национальный район";"Лицо";"Среднее профессиональное (среднее специальное)";1853
"Калевальский Национальный район";"Лицо";"Неполное высшее профессиональное (незаконченное высшее)";72
"Калевальский Национальный район";"Лицо";"Высшее профессиональное (высшее)";585
"Калевальский Национальный район";"Лицо";"Послевузовское профессиональное";7
"Калевальский Национальный район";"Лицо";"Не имеющие начального общего образования - умеющие читать и писать";54
"Калевальский Национальный район";"Лицо";"Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)";42
"Кемский район";"Лицо";"Не указавшие образование";459
"Кемский район";"Лицо";"Начальное общее (начальное)";1056
"Кемский район";"Лицо";"Основное общее (неполное среднее)";1317
"Кемский район";"Лицо";"Среднее (полное) общее";1490
"Кемский район";"Лицо";"Среднее профессиональное (среднее специальное)";755
"Кемский район";"Лицо";"Неполное высшее профессиональное (незаконченное высшее)";31
"Кемский район";"Лицо";"Высшее профессиональное (высшее)";176
