"","region","year","value","age","ID_2","NAME_2"
"1","Абинский район",1947,1.23867544904795,55,29343,"Abinskiy rayon"
"2","Абинский район",1988,1.71413798529775,14,29343,"Abinskiy rayon"
"3","Абинский район",1926,0.939684823415687,76,29343,"Abinskiy rayon"
"4","Абинский район",1968,1.05658341388845,34,29343,"Abinskiy rayon"
"5","Абинский район",1906,0.0101162241755277,96,29343,"Abinskiy rayon"
"6","Абинский район",1907,0.0179843985342715,95,29343,"Abinskiy rayon"
"7","Абинский район",1989,1.5680147472068,13,29343,"Abinskiy rayon"
"8","Абинский район",1927,0.990265944293326,75,29343,"Abinskiy rayon"
"9","Абинский район",1936,1.19708652743745,66,29343,"Abinskiy rayon"
"10","Абинский район",1954,1.62871209225996,48,29343,"Abinskiy rayon"
"11","Абинский район",1937,1.63433221680192,65,29343,"Abinskiy rayon"
"12","Абинский район",1948,1.29150461974237,54,29343,"Abinskiy rayon"
"13","Абинский район",1969,1.03859901535418,33,29343,"Abinskiy rayon"
"14","Абинский район",1963,1.36906233842142,39,29343,"Abinskiy rayon"
"15","Абинский район",1955,1.46572848054313,47,29343,"Abinskiy rayon"
"16","Абинский район",1981,1.33646561607805,21,29343,"Abinskiy rayon"
"17","Абинский район",1915,0.128138839556685,87,29343,"Abinskiy rayon"
"18","Абинский район",1928,1.10828855967448,74,29343,"Abinskiy rayon"
"19","Абинский район",1964,1.31960524245217,38,29343,"Abinskiy rayon"
"20","Абинский район",1909,0.0314726974349752,93,29343,"Abinskiy rayon"
"21","Абинский район",1949,1.51855765123755,53,29343,"Abinskiy rayon"
"22","Абинский район",1975,1.27127217139132,27,29343,"Abinskiy rayon"
"23","Абинский район",1929,1.08018793696468,73,29343,"Abinskiy rayon"
"24","Абинский район",1970,1.22518715014725,32,29343,"Abinskiy rayon"
"25","Абинский район",1982,1.36119416406268,20,29343,"Abinskiy rayon"
"26","Абинский район",1916,0.123642739923117,86,29343,"Abinskiy rayon"
"27","Абинский район",1976,1.2881325450172,26,29343,"Abinskiy rayon"
"28","Абинский район",1991,1.32747341681092,11,29343,"Abinskiy rayon"
"29","Абинский район",1910,0.0404648967021109,92,29343,"Abinskiy rayon"
"30","Абинский район",1908,0.0269765978014073,94,29343,"Abinskiy rayon"
"31","Абинский район",1998,0.925072499606591,4,29343,"Abinskiy rayon"
"32","Абинский район",1904,NA,98,29343,"Abinskiy rayon"
"33","Абинский район",1971,1.22518715014725,31,29343,"Abinskiy rayon"
"34","Абинский район",1997,0.865499179461817,5,29343,"Abinskiy rayon"
"35","Абинский район",1967,1.13301710765911,35,29343,"Abinskiy rayon"
"36","Абинский район",1930,1.14088528201785,72,29343,"Abinskiy rayon"
"37","Абинский район",1977,1.22518715014725,25,29343,"Abinskiy rayon"
"38","Абинский район",1983,1.30836499336825,19,29343,"Abinskiy rayon"
"39","Абинский район",1951,1.49270507834454,51,29343,"Abinskiy rayon"
"40","Абинский район",1990,1.42076748420745,12,29343,"Abinskiy rayon"
"41","Абинский район",1905,0.00899219926713576,97,29343,"Abinskiy rayon"
"42","Абинский район",1992,1.17010992963604,10,29343,"Abinskiy rayon"
"43","Абинский район",1956,1.55565047321449,46,29343,"Abinskiy rayon"
"44","Абинский район",1957,1.57251084684037,45,29343,"Abinskiy rayon"
"45","Абинский район",1999,0.864375154553425,3,29343,"Abinskiy rayon"
"46","Абинский район",1917,0.129262864465077,85,29343,"Abinskiy rayon"
"47","Абинский район",1918,0.232673156037138,84,29343,"Abinskiy rayon"
"48","Абинский район",1942,0.75871681316458,60,29343,"Abinskiy rayon"
"49","Абинский район",1979,1.28476047029202,23,29343,"Abinskiy rayon"
"50","Абинский район",1952,1.63208416698514,50,29343,"Abinskiy rayon"
"51","Абинский район",1938,1.56014657284805,64,29343,"Abinskiy rayon"
"52","Абинский район",1911,0.0573252703279905,91,29343,"Abinskiy rayon"
"53","Абинский район",1950,1.45224018164243,52,29343,"Abinskiy rayon"
"54","Абинский район",1923,0.528291706944226,79,29343,"Abinskiy rayon"
"55","Абинский район",1962,1.63096014207675,40,29343,"Abinskiy rayon"
"56","Абинский район",1919,0.21131668277769,83,29343,"Abinskiy rayon"
"57","Абинский район",1984,1.53204595013826,18,29343,"Abinskiy rayon"
"58","Абинский район",2000,0.877863453454129,2,29343,"Abinskiy rayon"
"59","Абинский район",1931,0.855382955286289,71,29343,"Abinskiy rayon"
"60","Абинский район",1978,1.27576827102489,24,29343,"Abinskiy rayon"
"61","Абинский район",1943,0.494570959692467,59,29343,"Abinskiy rayon"
"62","Абинский район",1966,1.23530337432278,36,29343,"Abinskiy rayon"
"63","Абинский район",1924,0.556392329654025,78,29343,"Abinskiy rayon"
"64","Абинский район",1922,0.415889216105029,80,29343,"Abinskiy rayon"
"65","Абинский район",1912,0.100038216846885,90,29343,"Abinskiy rayon"
"66","Абинский район",1986,1.86250927320549,16,29343,"Abinskiy rayon"
"67","Абинский район",1985,1.71751006002293,17,29343,"Abinskiy rayon"
"68","Абинский район",1932,0.874491378728953,70,29343,"Abinskiy rayon"
"69","Абинский район",1972,1.24766764831509,30,29343,"Abinskiy rayon"
"70","Абинский район",1944,0.452982038081964,58,29343,"Abinskiy rayon"
"71","Абинский район",1996,0.90708810107232,6,29343,"Abinskiy rayon"
"72","Абинский район",1980,1.43200773329137,22,29343,"Abinskiy rayon"
"73","Абинский район",1993,1.11278465930805,9,29343,"Abinskiy rayon"
"74","Абинский район",1939,1.57026279702358,63,29343,"Abinskiy rayon"
"75","Абинский район",1945,0.586741002180608,57,29343,"Abinskiy rayon"
"76","Абинский район",1958,1.49495312816132,44,29343,"Abinskiy rayon"
"77","Абинский район",2001,0.971157520850662,1,29343,"Abinskiy rayon"
"78","Абинский район",1903,0.0101162241755277,99,29343,"Abinskiy rayon"
"79","Абинский район",1940,1.3724344131466,62,29343,"Abinskiy rayon"
"80","Абинский район",1920,0.266393903288897,82,29343,"Abinskiy rayon"
"81","Абинский район",1965,1.24879167322348,37,29343,"Abinskiy rayon"
"82","Абинский район",1994,1.00712631791921,8,29343,"Abinskiy rayon"
"83","Абинский район",1953,1.57813097138233,49,29343,"Abinskiy rayon"
"84","Абинский район",1941,1.12739698311715,61,29343,"Abinskiy rayon"
"85","Абинский район",1959,1.57813097138233,43,29343,"Abinskiy rayon"
"86","Абинский район",2002,0.839646606568802,0,29343,"Abinskiy rayon"
"87","Абинский район",1933,0.699143493019805,69,29343,"Abinskiy rayon"
"88","Абинский район",1925,0.730616190454781,77,29343,"Abinskiy rayon"
"89","Абинский район",1973,1.20607872670458,29,29343,"Abinskiy rayon"
"90","Абинский район",1995,1.09704831059056,7,29343,"Abinskiy rayon"
"91","Абинский район",1987,1.72088213474811,15,29343,"Abinskiy rayon"
"92","Абинский район",1934,0.767709012431716,68,29343,"Abinskiy rayon"
"93","Абинский район",1913,0.118022615381157,89,29343,"Abinskiy rayon"
"94","Абинский район",1960,1.72987433401524,42,29343,"Abinskiy rayon"
"95","Абинский район",1946,1.08805611132343,56,29343,"Abinskiy rayon"
"96","Абинский район",1935,1.09704831059056,67,29343,"Abinskiy rayon"
"97","Абинский район",1974,1.316233167727,28,29343,"Abinskiy rayon"
"98","Абинский район",1921,0.38216846885327,81,29343,"Abinskiy rayon"
"99","Абинский район",1914,0.147247262999348,88,29343,"Abinskiy rayon"
"100","Абинский район",1961,1.56464267248162,41,29343,"Abinskiy rayon"
"101","Анапский район",1953,1.49232022341168,49,29345,"Anapskiy rayon"
"102","Анапский район",1993,1.20287409820805,9,29345,"Anapskiy rayon"
"103","Анапский район",1945,0.458168489643938,57,29345,"Anapskiy rayon"
"104","Анапский район",1987,1.82394693972539,15,29345,"Anapskiy rayon"
"105","Анапский район",1983,1.4225040726088,19,29345,"Anapskiy rayon"
"106","Анапский район",1917,0.0930882010705143,85,29345,"Anapskiy rayon"
"107","Анапский район",1936,1.09378636257854,66,29345,"Anapskiy rayon"
"108","Анапский район",1929,0.861065859902257,73,29345,"Anapskiy rayon"
"109","Анапский район",1908,0.0101815219920875,94,29345,"Anapskiy rayon"
"110","Анапский район",1965,1.39632301605771,37,29345,"Anapskiy rayon"
"111","Анапский район",2000,0.941063532697231,2,29345,"Anapskiy rayon"
"112","Анапский район",1910,0.0392715848266232,92,29345,"Anapskiy rayon"
"113","Анапский район",1966,1.37450546893181,36,29345,"Anapskiy rayon"
"114","Анапский район",1973,1.33814289038864,29,29345,"Anapskiy rayon"
"115","Анапский район",1982,1.44141261345125,20,29345,"Anapskiy rayon"
"116","Анапский район",1946,0.871247381894345,56,29345,"Anapskiy rayon"
"117","Анапский район",1930,0.941063532697231,72,29345,"Anapskiy rayon"
"118","Анапский район",1952,1.4661391668606,50,29345,"Anapskiy rayon"
"119","Анапский район",1915,0.0843611822201536,87,29345,"Anapskiy rayon"
"120","Анапский район",1937,1.46323016057715,65,29345,"Anapskiy rayon"
"121","Анапский район",1995,1.20141959506633,7,29345,"Anapskiy rayon"
"122","Анапский район",1967,1.27123574586921,35,29345,"Anapskiy rayon"
"123","Анапский район",1968,1.23778217360949,34,29345,"Anapskiy rayon"
"124","Анапский район",2001,1.02978822434256,1,29345,"Anapskiy rayon"
"125","Анапский район",1918,0.164358855015127,84,29345,"Anapskiy rayon"
"126","Анапский район",1986,1.78758436118222,16,29345,"Anapskiy rayon"
"127","Анапский район",1961,1.70613218524552,41,29345,"Anapskiy rayon"
"128","Анапский район",1954,1.57668140563184,48,29345,"Anapskiy rayon"
"129","Анапский район",1909,0.0174540377007214,93,29345,"Anapskiy rayon"
"130","Анапский район",1938,1.41377705375844,64,29345,"Anapskiy rayon"
"131","Анапский район",1939,1.38323248778217,63,29345,"Anapskiy rayon"
"132","Анапский район",1916,0.0814521759367,86,29345,"Anapskiy rayon"
"133","Анапский район",1903,NA,99,29345,"Anapskiy rayon"
"134","Анапский район",1974,1.39195950663253,28,29345,"Anapskiy rayon"
"135","Анапский район",1985,1.7264952292297,17,29345,"Anapskiy rayon"
"136","Анапский район",1911,0.0479986036769839,91,29345,"Anapskiy rayon"
"137","Анапский район",1942,0.760705143123109,60,29345,"Anapskiy rayon"
"138","Анапский район",1981,1.51122876425413,21,29345,"Anapskiy rayon"
"139","Анапский район",1988,1.69013265068653,14,29345,"Anapskiy rayon"
"140","Анапский район",1962,1.61886199674191,40,29345,"Anapskiy rayon"
"141","Анапский район",1955,1.5694088899232,47,29345,"Anapskiy rayon"
"142","Анапский район",1904,NA,98,29345,"Anapskiy rayon"
"143","Анапский район",1994,1.18251105422388,8,29345,"Anapskiy rayon"
"144","Анапский район",1924,0.453804980218757,78,29345,"Anapskiy rayon"
"145","Анапский район",1963,1.51850127996276,39,29345,"Anapskiy rayon"
"146","Анапский район",1943,0.509076099604375,59,29345,"Anapskiy rayon"
"147","Анапский район",1984,1.57668140563184,18,29345,"Anapskiy rayon"
"148","Анапский район",1957,1.53013730509658,45,29345,"Anapskiy rayon"
"149","Анапский район",1996,1.03996974633465,6,29345,"Anapskiy rayon"
"150","Анапский район",1969,1.14905748196416,33,29345,"Anapskiy rayon"
"151","Анапский район",1931,0.770886665115197,71,29345,"Anapskiy rayon"
"152","Анапский район",2002,0.829066790784268,0,29345,"Anapskiy rayon"
"153","Анапский район",1947,1.03415173376775,55,29345,"Anapskiy rayon"
"154","Анапский район",1972,1.41668606004189,30,29345,"Anapskiy rayon"
"155","Анапский район",1944,0.485804049336747,58,29345,"Anapskiy rayon"
"156","Анапский район",1928,0.874156388177799,74,29345,"Anapskiy rayon"
"157","Анапский район",1925,0.523621131021643,77,29345,"Anapskiy rayon"
"158","Анапский район",1964,1.34832441238073,38,29345,"Anapskiy rayon"
"159","Анапский район",1912,0.0756341633697929,90,29345,"Anapskiy rayon"
"160","Анапский район",1956,1.66249709099372,46,29345,"Anapskiy rayon"
"161","Анапский район",1948,1.01960670235048,54,29345,"Anapskiy rayon"
"162","Анапский район",1997,1.02687921805911,5,29345,"Anapskiy rayon"
"163","Анапский район",1932,0.72434256457994,70,29345,"Anapskiy rayon"
"164","Анапский район",1990,1.5912264370491,12,29345,"Anapskiy rayon"
"165","Анапский район",1958,1.65522457528508,44,29345,"Anapskiy rayon"
"166","Анапский район",1919,0.113451245054689,83,29345,"Anapskiy rayon"
"167","Анапский район",1920,0.184721898999302,82,29345,"Anapskiy rayon"
"168","Анапский район",1921,0.261810565510821,81,29345,"Anapskiy rayon"
"169","Анапский район",1970,1.26396323016058,32,29345,"Anapskiy rayon"
"170","Анапский район",1926,0.664707935769141,76,29345,"Anapskiy rayon"
"171","Анапский район",1940,1.3250523621131,62,29345,"Anapskiy rayon"
"172","Анапский район",1913,0.0625436350942518,89,29345,"Anapskiy rayon"
"173","Анапский район",1933,0.619618338375611,69,29345,"Anapskiy rayon"
"174","Анапский район",1949,1.29887130556202,53,29345,"Anapskiy rayon"
"175","Анапский район",1975,1.46904817314405,27,29345,"Anapskiy rayon"
"176","Анапский район",1979,1.41668606004189,23,29345,"Anapskiy rayon"
"177","Анапский район",1998,1.04578775890156,4,29345,"Anapskiy rayon"
"178","Анапский район",1959,1.87194554340237,43,29345,"Anapskiy rayon"
"179","Анапский район",1927,0.65598091691878,75,29345,"Anapskiy rayon"
"180","Анапский район",1976,1.4065045380498,26,29345,"Anapskiy rayon"
"181","Анапский район",1980,1.53304631138003,22,29345,"Anapskiy rayon"
"182","Анапский район",1971,1.33523388410519,31,29345,"Anapskiy rayon"
"183","Анапский район",1905,NA,97,29345,"Anapskiy rayon"
"184","Анапский район",1941,1.14469397253898,61,29345,"Anapskiy rayon"
"185","Анапский район",1922,0.23999301838492,80,29345,"Anapskiy rayon"
"186","Анапский район",1934,0.679252967186409,68,29345,"Anapskiy rayon"
"187","Анапский район",1960,1.79049336746567,42,29345,"Anapskiy rayon"
"188","Анапский район",1989,1.65813358156854,13,29345,"Anapskiy rayon"
"189","Анапский район",1977,1.46468466371887,25,29345,"Anapskiy rayon"
"190","Анапский район",1999,0.959972073539679,3,29345,"Anapskiy rayon"
"191","Анапский район",1914,0.107633232487782,88,29345,"Anapskiy rayon"
"192","Анапский район",1906,0.0145450314172679,96,29345,"Anapskiy rayon"
"193","Анапский район",1991,1.41377705375844,11,29345,"Anapskiy rayon"
"194","Анапский район",1923,0.357807772864789,79,29345,"Anapskiy rayon"
"195","Анапский район",1935,0.999243658366302,67,29345,"Anapskiy rayon"
"196","Анапский район",1951,1.34977891552246,51,29345,"Anapskiy rayon"
"197","Анапский район",1907,0.0101815219920875,95,29345,"Anapskiy rayon"
