SuperWEB2(tm)

"Всероссийская перепись населения 2002 года"
"Лицо and Год рождения by Наименование территориальной единицы"
"Counting: Лицо"

"Counting","Год рождения","Наименование территориальной единицы",
"Лицо","Год рождения не указан","Краснодарский край",0
"Лицо","Год рождения не указан","Районы Краснодарского края",0
"Лицо","Год рождения не указан","Абинский район",0
"Лицо","Год рождения не указан","Анапский район",8
"Лицо","Год рождения не указан","Апшеронский район",9
"Лицо","Год рождения не указан","Белоглинский район",0
"Лицо","Год рождения не указан","Белореченский район",0
"Лицо","Год рождения не указан","Брюховецкий район",8
"Лицо","Год рождения не указан","Выселковский район",0
"Лицо","Год рождения не указан","Гулькевичский район",0
"Лицо","Год рождения не указан","Динской район",0
"Лицо","Год рождения не указан","Ейский район",0
"Лицо","Год рождения не указан","Кавказский район",0
"Лицо","Год рождения не указан","Калининский район",0
"Лицо","Год рождения не указан","Каневский район",12
"Лицо","Год рождения не указан","Кореновский район",0
"Лицо","Год рождения не указан","Красноармейский район",25
"Лицо","Год рождения не указан","Крыловский район",0
"Лицо","Год рождения не указан","Крымский район",0
"Лицо","Год рождения не указан","Курганинский район",0
"Лицо","Год рождения не указан","Кущевский район",11
"Лицо","Год рождения не указан","Лабинский район",0
"Лицо","Год рождения не указан","Ленинградский район",8
"Лицо","Год рождения не указан","Мостовский район",0
"Лицо","Год рождения не указан","Новокубанский район",0
"Лицо","Год рождения не указан","Новопокровский район",0
"Лицо","Год рождения не указан","Отрадненский район",0
"Лицо","Год рождения не указан","Павловский район",10
"Лицо","Год рождения не указан","Приморско-Ахтарский район",8
"Лицо","Год рождения не указан","Северский район",10
"Лицо","Год рождения не указан","Славянский район",11
"Лицо","Год рождения не указан","Староминский район",0
"Лицо","Год рождения не указан","Тбилисский район",11
"Лицо","Год рождения не указан","Темрюкский район",42
"Лицо","Год рождения не указан","Тимашевский район",9
"Лицо","Год рождения не указан","Тихорецкий район",4
"Лицо","Год рождения не указан","Туапсинский район",18
"Лицо","Год рождения не указан","Успенский район",0
"Лицо","Год рождения не указан","Усть-Лабинский район",8
"Лицо","Год рождения не указан","Щербиновский район",0
"Лицо","Год рождения не указан","Города краевого подчинения Краснодарского края",0
"Лицо","Год рождения не указан","г. Краснодар",172
"Лицо","Год рождения не указан","Сельские населенные пункты, подчиненные администрации г. Анапа",0
"Лицо","Год рождения не указан","г. Армавир",0
"Лицо","Год рождения не указан","г. Белореченск",0
"Лицо","Год рождения не указан","г. Геленджик",7
"Лицо","Год рождения не указан","г. Горячий Ключ",0
"Лицо","Год рождения не указан","г. Ейск",0
"Лицо","Год рождения не указан","г. Кропоткин",0
"Лицо","Год рождения не указан","г. Крымск",66
"Лицо","Год рождения не указан","Сельские населенные пункты, подчиненные администрации г. Лабинска",0
"Лицо","Год рождения не указан","г. Новороссийск",86
"Лицо","Год рождения не указан","г. Славянск-на-Кубани",0
"Лицо","Год рождения не указан","г. Сочи",114
"Лицо","Год рождения не указан","г. Тихорецк",0
"Лицо","Год рождения не указан","г. Туапсе",41
"Лицо","До 1903 года","Краснодарский край",0
"Лицо","До 1903 года","Районы Краснодарского края",0
"Лицо","До 1903 года","Абинский район",0
"Лицо","До 1903 года","Анапский район",0
"Лицо","До 1903 года","Апшеронский район",11
"Лицо","До 1903 года","Белоглинский район",0
"Лицо","До 1903 года","Белореченский район",0
"Лицо","До 1903 года","Брюховецкий район",0
"Лицо","До 1903 года","Выселковский район",0
"Лицо","До 1903 года","Гулькевичский район",8
"Лицо","До 1903 года","Динской район",8
"Лицо","До 1903 года","Ейский район",0
"Лицо","До 1903 года","Кавказский район",0
"Лицо","До 1903 года","Калининский район",0
"Лицо","До 1903 года","Каневский район",0
"Лицо","До 1903 года","Кореновский район",0
"Лицо","До 1903 года","Красноармейский район",0
"Лицо","До 1903 года","Крыловский район",0
"Лицо","До 1903 года","Крымский район",8
"Лицо","До 1903 года","Курганинский район",0
"Лицо","До 1903 года","Кущевский район",0
"Лицо","До 1903 года","Лабинский район",0
"Лицо","До 1903 года","Ленинградский район",0
"Лицо","До 1903 года","Мостовский район",0
"Лицо","До 1903 года","Новокубанский район",0
"Лицо","До 1903 года","Новопокровский район",0
"Лицо","До 1903 года","Отрадненский район",0
"Лицо","До 1903 года","Павловский район",0
"Лицо","До 1903 года","Приморско-Ахтарский район",0
"Лицо","До 1903 года","Северский район",0
"Лицо","До 1903 года","Славянский район",0
"Лицо","До 1903 года","Староминский район",10
"Лицо","До 1903 года","Тбилисский район",0
"Лицо","До 1903 года","Темрюкский район",0
"Лицо","До 1903 года","Тимашевский район",10
"Лицо","До 1903 года","Тихорецкий район",0
"Лицо","До 1903 года","Туапсинский район",0
"Лицо","До 1903 года","Успенский район",7
"Лицо","До 1903 года","Усть-Лабинский район",9
"Лицо","До 1903 года","Щербиновский район",0
"Лицо","До 1903 года","Города краевого подчинения Краснодарского края",0
"Лицо","До 1903 года","г. Краснодар",40
"Лицо","До 1903 года","Сельские населенные пункты, подчиненные администрации г. Анапа",0
"Лицо","До 1903 года","г. Армавир",12
"Лицо","До 1903 года","г. Белореченск",6
"Лицо","До 1903 года","г. Геленджик",0
"Лицо","До 1903 года","г. Горячий Ключ",7
"Лицо","До 1903 года","г. Ейск",0
"Лицо","До 1903 года","г. Кропоткин",0
"Лицо","До 1903 года","г. Крымск",0
"Лицо","До 1903 года","Сельские населенные пункты, подчиненные администрации г. Лабинска",11
"Лицо","До 1903 года","г. Новороссийск",12
"Лицо","До 1903 года","г. Славянск-на-Кубани",8
"Лицо","До 1903 года","г. Сочи",16
"Лицо","До 1903 года","г. Тихорецк",7
"Лицо","До 1903 года","г. Туапсе",9
"Лицо","1903","Краснодарский край",0
"Лицо","1903","Районы Краснодарского края",0
"Лицо","1903","Абинский район",9
"Лицо","1903","Анапский район",0
"Лицо","1903","Апшеронский район",0
"Лицо","1903","Белоглинский район",0
"Лицо","1903","Белореченский район",0
"Лицо","1903","Брюховецкий район",0
"Лицо","1903","Выселковский район",0
"Лицо","1903","Гулькевичский район",8
"Лицо","1903","Динской район",0
"Лицо","1903","Ейский район",0
"Лицо","1903","Кавказский район",0
"Лицо","1903","Калининский район",0
"Лицо","1903","Каневский район",0
"Лицо","1903","Кореновский район",0
"Лицо","1903","Красноармейский район",0
"Лицо","1903","Крыловский район",0
"Лицо","1903","Крымский район",0
"Лицо","1903","Курганинский район",0
"Лицо","1903","Кущевский район",0
"Лицо","1903","Лабинский район",0
"Лицо","1903","Ленинградский район",0
"Лицо","1903","Мостовский район",0
"Лицо","1903","Новокубанский район",0
"Лицо","1903","Новопокровский район",0
"Лицо","1903","Отрадненский район",0
"Лицо","1903","Павловский район",0
"Лицо","1903","Приморско-Ахтарский район",0
"Лицо","1903","Северский район",0
"Лицо","1903","Славянский район",0
"Лицо","1903","Староминский район",0
"Лицо","1903","Тбилисский район",9
"Лицо","1903","Темрюкский район",0
"Лицо","1903","Тимашевский район",0
"Лицо","1903","Тихорецкий район",0
"Лицо","1903","Туапсинский район",0
"Лицо","1903","Успенский район",0
"Лицо","1903","Усть-Лабинский район",7
"Лицо","1903","Щербиновский район",0
"Лицо","1903","Города краевого подчинения Краснодарского края",0
"Лицо","1903","г. Краснодар",19
"Лицо","1903","Сельские населенные пункты, подчиненные администрации г. Анапа",0
"Лицо","1903","г. Армавир",7
"Лицо","1903","г. Белореченск",10
"Лицо","1903","г. Геленджик",0
"Лицо","1903","г. Горячий Ключ",0
"Лицо","1903","г. Ейск",0
"Лицо","1903","г. Кропоткин",0
"Лицо","1903","г. Крымск",0
"Лицо","1903","Сельские населенные пункты, подчиненные администрации г. Лабинска",0
"Лицо","1903","г. Новороссийск",8
"Лицо","1903","г. Славянск-на-Кубани",10
"Лицо","1903","г. Сочи",12
"Лицо","1903","г. Тихорецк",0
"Лицо","1903","г. Туапсе",8
"Лицо","1904","Краснодарский край",0
"Лицо","1904","Районы Краснодарского края",0
"Лицо","1904","Абинский район",0
"Лицо","1904","Анапский район",0
"Лицо","1904","Апшеронский район",11
