SuperWEB2(tm)

"Всероссийская перепись населения 2002 года"
"Лицо and Образование by Наименование территориальной единицы"
"Counting: Лицо"

"Counting","Образование","Наименование территориальной единицы",
"Лицо","Не указавшие образование","Краснодарский край",0
"Лицо","Не указавшие образование","Районы Краснодарского края",0
"Лицо","Не указавшие образование","Абинский район",8665
"Лицо","Не указавшие образование","Анапский район",7417
"Лицо","Не указавшие образование","Апшеронский район",9199
"Лицо","Не указавшие образование","Белоглинский район",3161
"Лицо","Не указавшие образование","Белореченский район",5351
"Лицо","Не указавшие образование","Брюховецкий район",5611
"Лицо","Не указавшие образование","Выселковский район",6341
"Лицо","Не указавшие образование","Гулькевичский район",10008
"Лицо","Не указавшие образование","Динской район",11499
"Лицо","Не указавшие образование","Ейский район",4347
"Лицо","Не указавшие образование","Кавказский район",4545
"Лицо","Не указавшие образование","Калининский район",5275
"Лицо","Не указавшие образование","Каневский район",10873
"Лицо","Не указавшие образование","Кореновский район",8611
"Лицо","Не указавшие образование","Красноармейский район",10620
"Лицо","Не указавшие образование","Крыловский район",4081
"Лицо","Не указавшие образование","Крымский район",7671
"Лицо","Не указавшие образование","Курганинский район",10788
"Лицо","Не указавшие образование","Кущевский район",7542
"Лицо","Не указавшие образование","Лабинский район",4024
"Лицо","Не указавшие образование","Ленинградский район",6857
"Лицо","Не указавшие образование","Мостовский район",7575
"Лицо","Не указавшие образование","Новокубанский район",9409
"Лицо","Не указавшие образование","Новопокровский район",4894
"Лицо","Не указавшие образование","Отрадненский район",7019
"Лицо","Не указавшие образование","Павловский район",6879
"Лицо","Не указавшие образование","Приморско-Ахтарский район",5345
"Лицо","Не указавшие образование","Северский район",10039
"Лицо","Не указавшие образование","Славянский район",7115
"Лицо","Не указавшие образование","Староминский район",4121
"Лицо","Не указавшие образование","Тбилисский район",5039
"Лицо","Не указавшие образование","Темрюкский район",12031
"Лицо","Не указавшие образование","Тимашевский район",10601
"Лицо","Не указавшие образование","Тихорецкий район",6192
"Лицо","Не указавшие образование","Туапсинский район",6249
"Лицо","Не указавшие образование","Успенский район",4609
"Лицо","Не указавшие образование","Усть-Лабинский район",10180
"Лицо","Не указавшие образование","Щербиновский район",4000
"Лицо","Не указавшие образование","Города краевого подчинения Краснодарского края",0
"Лицо","Не указавшие образование","г. Краснодар",64884
"Лицо","Не указавшие образование","Сельские населенные пункты, подчиненные администрации г. Анапа",5388
"Лицо","Не указавшие образование","г. Армавир",15688
"Лицо","Не указавшие образование","г. Белореченск",6005
"Лицо","Не указавшие образование","г. Геленджик",7563
"Лицо","Не указавшие образование","г. Горячий Ключ",5026
"Лицо","Не указавшие образование","г. Ейск",7607
"Лицо","Не указавшие образование","г. Кропоткин",6507
"Лицо","Не указавшие образование","г. Крымск",5692
"Лицо","Не указавшие образование","Сельские населенные пункты, подчиненные администрации г. Лабинска",6054
"Лицо","Не указавшие образование","г. Новороссийск",24624
"Лицо","Не указавшие образование","г. Славянск-на-Кубани",5880
"Лицо","Не указавшие образование","г. Сочи",35003
"Лицо","Не указавшие образование","г. Тихорецк",5631
"Лицо","Не указавшие образование","г. Туапсе",9553
"Лицо","Начальное общее (начальное)","Краснодарский край",0
"Лицо","Начальное общее (начальное)","Районы Краснодарского края",0
"Лицо","Начальное общее (начальное)","Абинский район",14075
"Лицо","Начальное общее (начальное)","Анапский район",10671
"Лицо","Начальное общее (начальное)","Апшеронский район",14798
"Лицо","Начальное общее (начальное)","Белоглинский район",6910
"Лицо","Начальное общее (начальное)","Белореченский район",8273
"Лицо","Начальное общее (начальное)","Брюховецкий район",9037
"Лицо","Начальное общее (начальное)","Выселковский район",10871
"Лицо","Начальное общее (начальное)","Гулькевичский район",15661
"Лицо","Начальное общее (начальное)","Динской район",18415
"Лицо","Начальное общее (начальное)","Ейский район",7373
"Лицо","Начальное общее (начальное)","Кавказский район",8246
"Лицо","Начальное общее (начальное)","Калининский район",9014
"Лицо","Начальное общее (начальное)","Каневский район",16446
"Лицо","Начальное общее (начальное)","Кореновский район",13263
"Лицо","Начальное общее (начальное)","Красноармейский район",17287
"Лицо","Начальное общее (начальное)","Крыловский район",6699
"Лицо","Начальное общее (начальное)","Крымский район",13778
"Лицо","Начальное общее (начальное)","Курганинский район",16515
"Лицо","Начальное общее (начальное)","Кущевский район",12355
"Лицо","Начальное общее (начальное)","Лабинский район",7166
"Лицо","Начальное общее (начальное)","Ленинградский район",11455
