SuperWEB2(tm)

"Всероссийская перепись населения 2002 года"
"Наименование территориальной единицы by Лицо and Образование"
"Counting: Лицо"

"Наименование территориальной единицы","Counting","Образование",
"Московская область","Лицо","Не указавшие образование",0
"Московская область","Лицо","Начальное общее (начальное)",0
"Московская область","Лицо","Основное общее (неполное среднее)",0
"Московская область","Лицо","Среднее (полное) общее",0
"Московская область","Лицо","Среднее профессиональное (среднее специальное)",0
"Московская область","Лицо","Неполное высшее профессиональное (незаконченное высшее)",0
"Московская область","Лицо","Высшее профессиональное (высшее)",0
"Московская область","Лицо","Послевузовское профессиональное",0
"Московская область","Лицо","Не имеющие начального общего образования - умеющие читать и писать",0
"Московская область","Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)",0
"Районы Московской области","Лицо","Не указавшие образование",0
"Районы Московской области","Лицо","Начальное общее (начальное)",0
"Районы Московской области","Лицо","Основное общее (неполное среднее)",0
"Районы Московской области","Лицо","Среднее (полное) общее",0
"Районы Московской области","Лицо","Среднее профессиональное (среднее специальное)",0
"Районы Московской области","Лицо","Неполное высшее профессиональное (незаконченное высшее)",0
"Районы Московской области","Лицо","Высшее профессиональное (высшее)",0
"Районы Московской области","Лицо","Послевузовское профессиональное",0
"Районы Московской области","Лицо","Не имеющие начального общего образования - умеющие читать и писать",0
"Районы Московской области","Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)",0
"Балашихинский район","Лицо","Не указавшие образование",15184
"Балашихинский район","Лицо","Начальное общее (начальное)",14323
"Балашихинский район","Лицо","Основное общее (неполное среднее)",19069
"Балашихинский район","Лицо","Среднее (полное) общее",28497
"Балашихинский район","Лицо","Среднее профессиональное (среднее специальное)",43464
"Балашихинский район","Лицо","Неполное высшее профессиональное (незаконченное высшее)",7861
"Балашихинский район","Лицо","Высшее профессиональное (высшее)",44886
"Балашихинский район","Лицо","Послевузовское профессиональное",935
"Балашихинский район","Лицо","Не имеющие начального общего образования - умеющие читать и писать",548
"Балашихинский район","Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)",107
"Волоколамский район","Лицо","Не указавшие образование",4555
"Волоколамский район","Лицо","Начальное общее (начальное)",7192
"Волоколамский район","Лицо","Основное общее (неполное среднее)",9475
"Волоколамский район","Лицо","Среднее (полное) общее",9967
"Волоколамский район","Лицо","Среднее профессиональное (среднее специальное)",12269
"Волоколамский район","Лицо","Неполное высшее профессиональное (незаконченное высшее)",769
"Волоколамский район","Лицо","Высшее профессиональное (высшее)",3987
"Волоколамский район","Лицо","Послевузовское профессиональное",99
"Волоколамский район","Лицо","Не имеющие начального общего образования - умеющие читать и писать",269
"Волоколамский район","Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)",169
"Воскресенский район","Лицо","Не указавшие образование",17676
"Воскресенский район","Лицо","Начальное общее (начальное)",16704
"Воскресенский район","Лицо","Основное общее (неполное среднее)",24662
"Воскресенский район","Лицо","Среднее (полное) общее",31593
"Воскресенский район","Лицо","Среднее профессиональное (среднее специальное)",40003
"Воскресенский район","Лицо","Неполное высшее профессиональное (незаконченное высшее)",4218
"Воскресенский район","Лицо","Высшее профессиональное (высшее)",16652
"Воскресенский район","Лицо","Послевузовское профессиональное",406
"Воскресенский район","Лицо","Не имеющие начального общего образования - умеющие читать и писать",110
"Воскресенский район","Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)",77
"Дмитровский район","Лицо","Не указавшие образование",14794
"Дмитровский район","Лицо","Начальное общее (начальное)",17612
"Дмитровский район","Лицо","Основное общее (неполное среднее)",23799
"Дмитровский район","Лицо","Среднее (полное) общее",28030
"Дмитровский район","Лицо","Среднее профессиональное (среднее специальное)",38472
"Дмитровский район","Лицо","Неполное высшее профессиональное (незаконченное высшее)",3575
"Дмитровский район","Лицо","Высшее профессиональное (высшее)",18469
"Дмитровский район","Лицо","Послевузовское профессиональное",234
"Дмитровский район","Лицо","Не имеющие начального общего образования - умеющие читать и писать",343
"Дмитровский район","Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)",264
"Домодедовский район","Лицо","Не указавшие образование",15736
"Домодедовский район","Лицо","Начальное общее (начальное)",12823
"Домодедовский район","Лицо","Основное общее (неполное среднее)",18240
"Домодедовский район","Лицо","Среднее (полное) общее",26112
"Домодедовский район","Лицо","Среднее профессиональное (среднее специальное)",26677
"Домодедовский район","Лицо","Неполное высшее профессиональное (незаконченное высшее)",3415
"Домодедовский район","Лицо","Высшее профессиональное (высшее)",18260
"Домодедовский район","Лицо","Послевузовское профессиональное",323
"Домодедовский район","Лицо","Не имеющие начального общего образования - умеющие читать и писать",229
"Домодедовский район","Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)",161
"Егорьевский район","Лицо","Не указавшие образование",9567
"Егорьевский район","Лицо","Начальное общее (начальное)",12904
"Егорьевский район","Лицо","Основное общее (неполное среднее)",16223
"Егорьевский район","Лицо","Среднее (полное) общее",21759
"Егорьевский район","Лицо","Среднее профессиональное (среднее специальное)",23443
"Егорьевский район","Лицо","Неполное высшее профессиональное (незаконченное высшее)",1910
"Егорьевский район","Лицо","Высшее профессиональное (высшее)",9268
"Егорьевский район","Лицо","Послевузовское профессиональное",112
"Егорьевский район","Лицо","Не имеющие начального общего образования - умеющие читать и писать",224
"Егорьевский район","Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)",184
"Сергиево-Посадский район","Лицо","Не указавшие образование",23465
"Сергиево-Посадский район","Лицо","Начальное общее (начальное)",24324
"Сергиево-Посадский район","Лицо","Основное общее (неполное среднее)",32181
"Сергиево-Посадский район","Лицо","Среднее (полное) общее",42872
"Сергиево-Посадский район","Лицо","Среднее профессиональное (среднее специальное)",59452
"Сергиево-Посадский район","Лицо","Неполное высшее профессиональное (незаконченное высшее)",6480
"Сергиево-Посадский район","Лицо","Высшее профессиональное (высшее)",37183
"Сергиево-Посадский район","Лицо","Послевузовское профессиональное",621
"Сергиево-Посадский район","Лицо","Не имеющие начального общего образования - умеющие читать и писать",247
"Сергиево-Посадский район","Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)",249
"Зарайский район","Лицо","Не указавшие образование",3342
"Зарайский район","Лицо","Начальное общее (начальное)",5895
"Зарайский район","Лицо","Основное общее (неполное среднее)",9053
"Зарайский район","Лицо","Среднее (полное) общее",10468
"Зарайский район","Лицо","Среднее профессиональное (среднее специальное)",8989
"Зарайский район","Лицо","Неполное высшее профессиональное (незаконченное высшее)",641
"Зарайский район","Лицо","Высшее профессиональное (высшее)",3321
"Зарайский район","Лицо","Послевузовское профессиональное",27
"Зарайский район","Лицо","Не имеющие начального общего образования - умеющие читать и писать",106
"Зарайский район","Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)",106
"Истринский район","Лицо","Не указавшие образование",11093
"Истринский район","Лицо","Начальное общее (начальное)",12857
"Истринский район","Лицо","Основное общее (неполное среднее)",18500
"Истринский район","Лицо","Среднее (полное) общее",27188
"Истринский район","Лицо","Среднее профессиональное (среднее специальное)",24554
"Истринский район","Лицо","Неполное высшее профессиональное (незаконченное высшее)",3080
"Истринский район","Лицо","Высшее профессиональное (высшее)",16987
"Истринский район","Лицо","Послевузовское профессиональное",397
"Истринский район","Лицо","Не имеющие начального общего образования - умеющие читать и писать",339
"Истринский район","Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)",196
"Каширский район","Лицо","Не указавшие образование",6890
"Каширский район","Лицо","Начальное общее (начальное)",8226
"Каширский район","Лицо","Основное общее (неполное среднее)",12372
"Каширский район","Лицо","Среднее (полное) общее",15287
"Каширский район","Лицо","Среднее профессиональное (среднее специальное)",17604
"Каширский район","Лицо","Неполное высшее профессиональное (незаконченное высшее)",1408
"Каширский район","Лицо","Высшее профессиональное (высшее)",7562
"Каширский район","Лицо","Послевузовское профессиональное",97
"Каширский район","Лицо","Не имеющие начального общего образования - умеющие читать и писать",341
"Каширский район","Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)",214
"Клинский район","Лицо","Не указавшие образование",13301
"Клинский район","Лицо","Начальное общее (начальное)",15031
"Клинский район","Лицо","Основное общее (неполное среднее)",21484
"Клинский район","Лицо","Среднее (полное) общее",30473
"Клинский район","Лицо","Среднее профессиональное (среднее специальное)",28545
"Клинский район","Лицо","Неполное высшее профессиональное (незаконченное высшее)",2690
"Клинский район","Лицо","Высшее профессиональное (высшее)",14535
"Клинский район","Лицо","Послевузовское профессиональное",250
"Клинский район","Лицо","Не имеющие начального общего образования - умеющие читать и писать",328
"Клинский район","Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)",247
"Коломенский район","Лицо","Не указавшие образование",3297
"Коломенский район","Лицо","Начальное общее (начальное)",6145
"Коломенский район","Лицо","Основное общее (неполное среднее)",8209
"Коломенский район","Лицо","Среднее (полное) общее",9572
"Коломенский район","Лицо","Среднее профессиональное (среднее специальное)",8309
"Коломенский район","Лицо","Неполное высшее профессиональное (незаконченное высшее)",597
"Коломенский район","Лицо","Высшее профессиональное (высшее)",3633
"Коломенский район","Лицо","Послевузовское профессиональное",31
"Коломенский район","Лицо","Не имеющие начального общего образования - умеющие читать и писать",145
"Коломенский район","Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)",178
"Красногорский район","Лицо","Не указавшие образование",26886
"Красногорский район","Лицо","Начальное общее (начальное)",12003
"Красногорский район","Лицо","Основное общее (неполное среднее)",15338
"Красногорский район","Лицо","Среднее (полное) общее",25896
"Красногорский район","Лицо","Среднее профессиональное (среднее специальное)",31911
"Красногорский район","Лицо","Неполное высшее профессиональное (незаконченное высшее)",4743
"Красногорский район","Лицо","Высшее профессиональное (высшее)",30163
"Красногорский район","Лицо","Послевузовское профессиональное",795
"Красногорский район","Лицо","Не имеющие начального общего образования - умеющие читать и писать",217
"Красногорский район","Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)",68
"Ленинский район","Лицо","Не указавшие образование",12647
"Ленинский район","Лицо","Начальное общее (начальное)",14227
"Ленинский район","Лицо","Основное общее (неполное среднее)",18583
"Ленинский район","Лицо","Среднее (полное) общее",27919
"Ленинский район","Лицо","Среднее профессиональное (среднее специальное)",34006
"Ленинский район","Лицо","Неполное высшее профессиональное (незаконченное высшее)",4830
"Ленинский район","Лицо","Высшее профессиональное (высшее)",28119
"Ленинский район","Лицо","Послевузовское профессиональное",703
"Ленинский район","Лицо","Не имеющие начального общего образования - умеющие читать и писать",322
"Ленинский район","Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)",180
"Лотошинский район","Лицо","Не указавшие образование",1671
"Лотошинский район","Лицо","Начальное общее (начальное)",2660
"Лотошинский район","Лицо","Основное общее (неполное среднее)",3058
"Лотошинский район","Лицо","Среднее (полное) общее",4640
"Лотошинский район","Лицо","Среднее профессиональное (среднее специальное)",3981
"Лотошинский район","Лицо","Неполное высшее профессиональное (незаконченное высшее)",304
"Лотошинский район","Лицо","Высшее профессиональное (высшее)",1467
"Лотошинский район","Лицо","Послевузовское профессиональное",13
"Лотошинский район","Лицо","Не имеющие начального общего образования - умеющие читать и писать",83
"Лотошинский район","Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)",61
"Луховицкий район","Лицо","Не указавшие образование",5368
"Луховицкий район","Лицо","Начальное общее (начальное)",8634
"Луховицкий район","Лицо","Основное общее (неполное среднее)",10407
"Луховицкий район","Лицо","Среднее (полное) общее",14462
"Луховицкий район","Лицо","Среднее профессиональное (среднее специальное)",15200
"Луховицкий район","Лицо","Неполное высшее профессиональное (незаконченное высшее)",1133
"Луховицкий район","Лицо","Высшее профессиональное (высшее)",6778
"Луховицкий район","Лицо","Послевузовское профессиональное",76
"Луховицкий район","Лицо","Не имеющие начального общего образования - умеющие читать и писать",208
"Луховицкий район","Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)",200
"Люберецкий район","Лицо","Не указавшие образование",30696
"Люберецкий район","Лицо","Начальное общее (начальное)",23287
"Люберецкий район","Лицо","Основное общее (неполное среднее)",29885
"Люберецкий район","Лицо","Среднее (полное) общее",47000
"Люберецкий район","Лицо","Среднее профессиональное (среднее специальное)",59260
"Люберецкий район","Лицо","Неполное высшее профессиональное (незаконченное высшее)",8854
"Люберецкий район","Лицо","Высшее профессиональное (высшее)",53974
"Люберецкий район","Лицо","Послевузовское профессиональное",1279
"Люберецкий район","Лицо","Не имеющие начального общего образования - умеющие читать и писать",521
"Люберецкий район","Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)",201
"Можайский район","Лицо","Не указавшие образование",6256
"Можайский район","Лицо","Начальное общее (начальное)",9192
"Можайский район","Лицо","Основное общее (неполное среднее)",12183
"Можайский район","Лицо","Среднее (полное) общее",14607
"Можайский район","Лицо","Среднее профессиональное (среднее специальное)",15303
"Можайский район","Лицо","Неполное высшее профессиональное (незаконченное высшее)",1504
"Можайский район","Лицо","Высшее профессиональное (высшее)",6535
"Можайский район","Лицо","Послевузовское профессиональное",132
"Можайский район","Лицо","Не имеющие начального общего образования - умеющие читать и писать",305
"Можайский район","Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)",215
"Мытищинский район","Лицо","Не указавшие образование",15749
"Мытищинский район","Лицо","Начальное общее (начальное)",15576
"Мытищинский район","Лицо","Основное общее (неполное среднее)",21900
"Мытищинский район","Лицо","Среднее (полное) общее",30174
"Мытищинский район","Лицо","Среднее профессиональное (среднее специальное)",44082
"Мытищинский район","Лицо","Неполное высшее профессиональное (незаконченное высшее)",8497
"Мытищинский район","Лицо","Высшее профессиональное (высшее)",46974
