SuperWEB2(tm)

"Всероссийская перепись населения 2002 года"
"Наименование территориальной единицы по Лицо и Образование"
"Подсчет: Лицо"

"Наименование территориальной единицы";"Counting";"Образование";
"Нижегородская область";"Лицо";"Не указавшие образование";0
"Нижегородская область";"Лицо";"Начальное общее (начальное)";0
"Нижегородская область";"Лицо";"Основное общее (неполное среднее)";0
"Нижегородская область";"Лицо";"Среднее (полное) общее";0
"Нижегородская область";"Лицо";"Среднее профессиональное (среднее специальное)";0
"Нижегородская область";"Лицо";"Неполное высшее профессиональное (незаконченное высшее)";0
"Нижегородская область";"Лицо";"Высшее профессиональное (высшее)";0
"Нижегородская область";"Лицо";"Послевузовское профессиональное";0
"Нижегородская область";"Лицо";"Не имеющие начального общего образования - умеющие читать и писать";0
"Нижегородская область";"Лицо";"Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)";0
"Районы Нижегородской области";"Лицо";"Не указавшие образование";0
"Районы Нижегородской области";"Лицо";"Начальное общее (начальное)";0
"Районы Нижегородской области";"Лицо";"Основное общее (неполное среднее)";0
"Районы Нижегородской области";"Лицо";"Среднее (полное) общее";0
"Районы Нижегородской области";"Лицо";"Среднее профессиональное (среднее специальное)";0
"Районы Нижегородской области";"Лицо";"Неполное высшее профессиональное (незаконченное высшее)";0
"Районы Нижегородской области";"Лицо";"Высшее профессиональное (высшее)";0
"Районы Нижегородской области";"Лицо";"Послевузовское профессиональное";0
"Районы Нижегородской области";"Лицо";"Не имеющие начального общего образования - умеющие читать и писать";0
"Районы Нижегородской области";"Лицо";"Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)";0
"Ардатовский район";"Лицо";"Не указавшие образование";2877
"Ардатовский район";"Лицо";"Начальное общее (начальное)";6004
"Ардатовский район";"Лицо";"Основное общее (неполное среднее)";6117
"Ардатовский район";"Лицо";"Среднее (полное) общее";5546
"Ардатовский район";"Лицо";"Среднее профессиональное (среднее специальное)";6881
"Ардатовский район";"Лицо";"Неполное высшее профессиональное (незаконченное высшее)";289
"Ардатовский район";"Лицо";"Высшее профессиональное (высшее)";1887
"Ардатовский район";"Лицо";"Послевузовское профессиональное";9
"Ардатовский район";"Лицо";"Не имеющие начального общего образования - умеющие читать и писать";210
"Ардатовский район";"Лицо";"Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)";210
"Арзамасский район";"Лицо";"Не указавшие образование";3650
"Арзамасский район";"Лицо";"Начальное общее (начальное)";11156
"Арзамасский район";"Лицо";"Основное общее (неполное среднее)";8443
"Арзамасский район";"Лицо";"Среднее (полное) общее";10888
"Арзамасский район";"Лицо";"Среднее профессиональное (среднее специальное)";7750
"Арзамасский район";"Лицо";"Неполное высшее профессиональное (незаконченное высшее)";429
"Арзамасский район";"Лицо";"Высшее профессиональное (высшее)";2296
"Арзамасский район";"Лицо";"Послевузовское профессиональное";13
"Арзамасский район";"Лицо";"Не имеющие начального общего образования - умеющие читать и писать";637
"Арзамасский район";"Лицо";"Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)";612
"Балахнинский район";"Лицо";"Не указавшие образование";2043
"Балахнинский район";"Лицо";"Начальное общее (начальное)";4189
"Балахнинский район";"Лицо";"Основное общее (неполное среднее)";5504
"Балахнинский район";"Лицо";"Среднее (полное) общее";6823
"Балахнинский район";"Лицо";"Среднее профессиональное (среднее специальное)";5230
"Балахнинский район";"Лицо";"Неполное высшее профессиональное (незаконченное высшее)";385
"Балахнинский район";"Лицо";"Высшее профессиональное (высшее)";1721
"Балахнинский район";"Лицо";"Послевузовское профессиональное";20
"Балахнинский район";"Лицо";"Не имеющие начального общего образования - умеющие читать и писать";157
"Балахнинский район";"Лицо";"Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)";157
"Богородский район";"Лицо";"Не указавшие образование";2527
"Богородский район";"Лицо";"Начальное общее (начальное)";5952
"Богородский район";"Лицо";"Основное общее (неполное среднее)";7170
"Богородский район";"Лицо";"Среднее (полное) общее";7423
"Богородский район";"Лицо";"Среднее профессиональное (среднее специальное)";4788
"Богородский район";"Лицо";"Неполное высшее профессиональное (незаконченное высшее)";312
"Богородский район";"Лицо";"Высшее профессиональное (высшее)";1866
"Богородский район";"Лицо";"Послевузовское профессиональное";21
"Богородский район";"Лицо";"Не имеющие начального общего образования - умеющие читать и писать";195
"Богородский район";"Лицо";"Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)";200
"Большеболдинский район";"Лицо";"Не указавшие образование";1178
"Большеболдинский район";"Лицо";"Начальное общее (начальное)";2851
"Большеболдинский район";"Лицо";"Основное общее (неполное среднее)";2568
"Большеболдинский район";"Лицо";"Среднее (полное) общее";2789
"Большеболдинский район";"Лицо";"Среднее профессиональное (среднее специальное)";2485
