SuperWEB2(tm)

"Всероссийская перепись населения 2002 года"
"Наименование территориальной единицы by Лицо and Положение в занятости"
"Counting: Лицо"

"Наименование территориальной единицы","Counting","Положение в занятости",
"Республика Карелия","Лицо","Не указавшие положение в занятости",0
"Республика Карелия","Лицо","Работающие по найму",0
"Республика Карелия","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",0
"Республика Карелия","Лицо","Работающие не по найму с привлечением наемных работников",0
"Республика Карелия","Лицо","Работающие не по найму без привлечения наемных работников",0
"Республика Карелия","Лицо","Работающие не по найму - иное",0
"Районы Республики Карелия","Лицо","Не указавшие положение в занятости",0
"Районы Республики Карелия","Лицо","Работающие по найму",0
"Районы Республики Карелия","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",0
"Районы Республики Карелия","Лицо","Работающие не по найму с привлечением наемных работников",0
"Районы Республики Карелия","Лицо","Работающие не по найму без привлечения наемных работников",0
"Районы Республики Карелия","Лицо","Работающие не по найму - иное",0
"Беломорский район","Лицо","Не указавшие положение в занятости",14307
"Беломорский район","Лицо","Работающие по найму",9304
"Беломорский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",7
"Беломорский район","Лицо","Работающие не по найму с привлечением наемных работников",85
"Беломорский район","Лицо","Работающие не по найму без привлечения наемных работников",119
"Беломорский район","Лицо","Работающие не по найму - иное",23
"Вепсская Национальная волость","Лицо","Не указавшие положение в занятости",2008
"Вепсская Национальная волость","Лицо","Работающие по найму",1126
"Вепсская Национальная волость","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",0
"Вепсская Национальная волость","Лицо","Работающие не по найму с привлечением наемных работников",12
"Вепсская Национальная волость","Лицо","Работающие не по найму без привлечения наемных работников",9
"Вепсская Национальная волость","Лицо","Работающие не по найму - иное",0
"Калевальский Национальный район","Лицо","Не указавшие положение в занятости",5875
"Калевальский Национальный район","Лицо","Работающие по найму",3882
"Калевальский Национальный район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",0
"Калевальский Национальный район","Лицо","Работающие не по найму с привлечением наемных работников",24
"Калевальский Национальный район","Лицо","Работающие не по найму без привлечения наемных работников",44
"Калевальский Национальный район","Лицо","Работающие не по найму - иное",0
"Кемский район","Лицо","Не указавшие положение в занятости",3161
"Кемский район","Лицо","Работающие по найму",2150
"Кемский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",0
"Кемский район","Лицо","Работающие не по найму с привлечением наемных работников",5
"Кемский район","Лицо","Работающие не по найму без привлечения наемных работников",15
"Кемский район","Лицо","Работающие не по найму - иное",0
"Кондопожский район","Лицо","Не указавшие положение в занятости",5650
"Кондопожский район","Лицо","Работающие по найму",3689
"Кондопожский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",8
"Кондопожский район","Лицо","Работающие не по найму с привлечением наемных работников",16
"Кондопожский район","Лицо","Работающие не по найму без привлечения наемных работников",43
"Кондопожский район","Лицо","Работающие не по найму - иное",14
"Лахденпохский район","Лицо","Не указавшие положение в занятости",9060
"Лахденпохский район","Лицо","Работающие по найму",6605
"Лахденпохский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",6
"Лахденпохский район","Лицо","Работающие не по найму с привлечением наемных работников",94
"Лахденпохский район","Лицо","Работающие не по найму без привлечения наемных работников",107
"Лахденпохский район","Лицо","Работающие не по найму - иное",25
"Лоухский район","Лицо","Не указавшие положение в занятости",11276
"Лоухский район","Лицо","Работающие по найму",8279
"Лоухский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",0
"Лоухский район","Лицо","Работающие не по найму с привлечением наемных работников",75
"Лоухский район","Лицо","Работающие не по найму без привлечения наемных работников",191
"Лоухский район","Лицо","Работающие не по найму - иное",43
"Медвежьегорский район","Лицо","Не указавшие положение в занятости",21245
"Медвежьегорский район","Лицо","Работающие по найму",15055
"Медвежьегорский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",10
"Медвежьегорский район","Лицо","Работающие не по найму с привлечением наемных работников",181
"Медвежьегорский район","Лицо","Работающие не по найму без привлечения наемных работников",293
"Медвежьегорский район","Лицо","Работающие не по найму - иное",106
"Муезерский район","Лицо","Не указавшие положение в занятости",9612
"Муезерский район","Лицо","Работающие по найму",6454
"Муезерский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",11
"Муезерский район","Лицо","Работающие не по найму с привлечением наемных работников",67
"Муезерский район","Лицо","Работающие не по найму без привлечения наемных работников",87
"Муезерский район","Лицо","Работающие не по найму - иное",27
"Олонецкий район","Лицо","Не указавшие положение в занятости",15663
"Олонецкий район","Лицо","Работающие по найму",10318
"Олонецкий район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",8
"Олонецкий район","Лицо","Работающие не по найму с привлечением наемных работников",131
"Олонецкий район","Лицо","Работающие не по найму без привлечения наемных работников",446
"Олонецкий район","Лицо","Работающие не по найму - иное",27
"Питкярантский район","Лицо","Не указавшие положение в занятости",6685
"Питкярантский район","Лицо","Работающие по найму",3729
"Питкярантский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",7
"Питкярантский район","Лицо","Работающие не по найму с привлечением наемных работников",17
"Питкярантский район","Лицо","Работающие не по найму без привлечения наемных работников",55
"Питкярантский район","Лицо","Работающие не по найму - иное",0
"Прионежский район","Лицо","Не указавшие положение в занятости",10493
"Прионежский район","Лицо","Работающие по найму",7551
"Прионежский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",8
"Прионежский район","Лицо","Работающие не по найму с привлечением наемных работников",70
"Прионежский район","Лицо","Работающие не по найму без привлечения наемных работников",126
"Прионежский район","Лицо","Работающие не по найму - иное",27
"Пряжинский район","Лицо","Не указавшие положение в занятости",10055
"Пряжинский район","Лицо","Работающие по найму",7080
"Пряжинский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",7
"Пряжинский район","Лицо","Работающие не по найму с привлечением наемных работников",57
"Пряжинский район","Лицо","Работающие не по найму без привлечения наемных работников",141
"Пряжинский район","Лицо","Работающие не по найму - иное",8
"Пудожский район","Лицо","Не указавшие положение в занятости",16932
"Пудожский район","Лицо","Работающие по найму",10175
"Пудожский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",9
"Пудожский район","Лицо","Работающие не по найму с привлечением наемных работников",97
"Пудожский район","Лицо","Работающие не по найму без привлечения наемных работников",182
"Пудожский район","Лицо","Работающие не по найму - иное",19
"Сегежский район","Лицо","Не указавшие положение в занятости",7667
"Сегежский район","Лицо","Работающие по найму",5533
"Сегежский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",9
"Сегежский район","Лицо","Работающие не по найму с привлечением наемных работников",33
"Сегежский район","Лицо","Работающие не по найму без привлечения наемных работников",64
"Сегежский район","Лицо","Работающие не по найму - иное",6
"Суоярвский район","Лицо","Не указавшие положение в занятости",12733
"Суоярвский район","Лицо","Работающие по найму",10203
"Суоярвский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",10
"Суоярвский район","Лицо","Работающие не по найму с привлечением наемных работников",59
"Суоярвский район","Лицо","Работающие не по найму без привлечения наемных работников",161
"Суоярвский район","Лицо","Работающие не по найму - иное",7
"Города республиканского подчинения Республики Карелия","Лицо","Не указавшие положение в занятости",0
"Города республиканского подчинения Республики Карелия","Лицо","Работающие по найму",0
"Города республиканского подчинения Республики Карелия","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",0
"Города республиканского подчинения Республики Карелия","Лицо","Работающие не по найму с привлечением наемных работников",0
"Города республиканского подчинения Республики Карелия","Лицо","Работающие не по найму без привлечения наемных работников",0
"Города республиканского подчинения Республики Карелия","Лицо","Работающие не по найму - иное",0
"Сельские населенные пункты, подчиненные администрации г. Петрозаводск","Лицо","Не указавшие положение в занятости",139056
