SuperWEB2(tm)

"Всероссийская перепись населения 2002 года"
"Лицо and Положение в занятости by Наименование территориальной единицы"
"Counting: Лицо"

"Counting","Положение в занятости","Наименование территориальной единицы",
"Лицо","Не указавшие положение в занятости","Краснодарский край",0
"Лицо","Не указавшие положение в занятости","Районы Краснодарского края",0
"Лицо","Не указавшие положение в занятости","Абинский район",59144
"Лицо","Не указавшие положение в занятости","Анапский район",41833
"Лицо","Не указавшие положение в занятости","Апшеронский район",59391
"Лицо","Не указавшие положение в занятости","Белоглинский район",21379
"Лицо","Не указавшие положение в занятости","Белореченский район",32631
"Лицо","Не указавшие положение в занятости","Брюховецкий район",32963
"Лицо","Не указавшие положение в занятости","Выселковский район",36364
"Лицо","Не указавшие положение в занятости","Гулькевичский район",65583
"Лицо","Не указавшие положение в занятости","Динской район",74728
"Лицо","Не указавшие положение в занятости","Ейский район",26809
"Лицо","Не указавшие положение в занятости","Кавказский район",29779
"Лицо","Не указавшие положение в занятости","Калининский район",32070
"Лицо","Не указавшие положение в занятости","Каневский район",63034
"Лицо","Не указавшие положение в занятости","Кореновский район",54036
"Лицо","Не указавшие положение в занятости","Красноармейский район",65822
"Лицо","Не указавшие положение в занятости","Крыловский район",25068
"Лицо","Не указавшие положение в занятости","Крымский район",48919
"Лицо","Не указавшие положение в занятости","Курганинский район",70166
"Лицо","Не указавшие положение в занятости","Кущевский район",44334
"Лицо","Не указавшие положение в занятости","Лабинский район",28358
"Лицо","Не указавшие положение в занятости","Ленинградский район",39217
"Лицо","Не указавшие положение в занятости","Мостовский район",47754
"Лицо","Не указавшие положение в занятости","Новокубанский район",54909
"Лицо","Не указавшие положение в занятости","Новопокровский район",30217
"Лицо","Не указавшие положение в занятости","Отрадненский район",44607
"Лицо","Не указавшие положение в занятости","Павловский район",41476
"Лицо","Не указавшие положение в занятости","Приморско-Ахтарский район",36597
"Лицо","Не указавшие положение в занятости","Северский район",67261
"Лицо","Не указавшие положение в занятости","Славянский район",42174
"Лицо","Не указавшие положение в занятости","Староминский район",23887
"Лицо","Не указавшие положение в занятости","Тбилисский район",30928
"Лицо","Не указавшие положение в занятости","Темрюкский район",71616
"Лицо","Не указавшие положение в занятости","Тимашевский район",62643
"Лицо","Не указавшие положение в занятости","Тихорецкий район",39443
"Лицо","Не указавшие положение в занятости","Туапсинский район",36964
"Лицо","Не указавшие положение в занятости","Успенский район",26785
"Лицо","Не указавшие положение в занятости","Усть-Лабинский район",69445
"Лицо","Не указавшие положение в занятости","Щербиновский район",24166
