SuperWEB2(tm)

"Всероссийская перепись населения 2002 года"
"Наименование территориальной единицы by Лицо and Положение в занятости"
"Counting: Лицо"

"Наименование территориальной единицы","Counting","Положение в занятости",
"Московская область","Лицо","Не указавшие положение в занятости",0
"Московская область","Лицо","Работающие по найму",0
"Московская область","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",0
"Московская область","Лицо","Работающие не по найму с привлечением наемных работников",0
"Московская область","Лицо","Работающие не по найму без привлечения наемных работников",0
"Московская область","Лицо","Работающие не по найму - иное",0
"Районы Московской области","Лицо","Не указавшие положение в занятости",0
"Районы Московской области","Лицо","Работающие по найму",0
"Районы Московской области","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",0
"Районы Московской области","Лицо","Работающие не по найму с привлечением наемных работников",0
"Районы Московской области","Лицо","Работающие не по найму без привлечения наемных работников",0
"Районы Московской области","Лицо","Работающие не по найму - иное",0
"Балашихинский район","Лицо","Не указавшие положение в занятости",87304
"Балашихинский район","Лицо","Работающие по найму",83114
"Балашихинский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",267
"Балашихинский район","Лицо","Работающие не по найму с привлечением наемных работников",1430
"Балашихинский район","Лицо","Работающие не по найму без привлечения наемных работников",2015
"Балашихинский район","Лицо","Работающие не по найму - иное",747
"Волоколамский район","Лицо","Не указавшие положение в занятости",27535
"Волоколамский район","Лицо","Работающие по найму",20011
"Волоколамский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",71
"Волоколамский район","Лицо","Работающие не по найму с привлечением наемных работников",348
"Волоколамский район","Лицо","Работающие не по найму без привлечения наемных работников",649
"Волоколамский район","Лицо","Работающие не по найму - иное",137
"Воскресенский район","Лицо","Не указавшие положение в занятости",79519
"Воскресенский район","Лицо","Работающие по найму",70245
"Воскресенский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",138
"Воскресенский район","Лицо","Работающие не по найму с привлечением наемных работников",543
"Воскресенский район","Лицо","Работающие не по найму без привлечения наемных работников",1134
"Воскресенский район","Лицо","Работающие не по найму - иное",519
"Дмитровский район","Лицо","Не указавшие положение в занятости",74897
"Дмитровский район","Лицо","Работающие по найму",67931
"Дмитровский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",156
"Дмитровский район","Лицо","Работающие не по найму с привлечением наемных работников",742
"Дмитровский район","Лицо","Работающие не по найму без привлечения наемных работников",1703
"Дмитровский район","Лицо","Работающие не по найму - иное",159
"Домодедовский район","Лицо","Не указавшие положение в занятости",63969
"Домодедовский район","Лицо","Работающие по найму",56399
"Домодедовский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",104
"Домодедовский район","Лицо","Работающие не по найму с привлечением наемных работников",461
"Домодедовский район","Лицо","Работающие не по найму без привлечения наемных работников",813
"Домодедовский район","Лицо","Работающие не по найму - иное",226
"Егорьевский район","Лицо","Не указавшие положение в занятости",53802
"Егорьевский район","Лицо","Работающие по найму",40310
"Егорьевский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",62
"Егорьевский район","Лицо","Работающие не по найму с привлечением наемных работников",377
"Егорьевский район","Лицо","Работающие не по найму без привлечения наемных работников",970
"Егорьевский район","Лицо","Работающие не по найму - иное",75
"Сергиево-Посадский район","Лицо","Не указавшие положение в занятости",119366
"Сергиево-Посадский район","Лицо","Работающие по найму",104180
"Сергиево-Посадский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",301
