SuperWEB2(tm)

"Всероссийская перепись населения 2002 года"
"Наименование территориальной единицы by Лицо and Положение в занятости"
"Counting: Лицо"

"Наименование территориальной единицы","Counting","Положение в занятости",
"Нижегородская область","Лицо","Не указавшие положение в занятости",0
"Нижегородская область","Лицо","Работающие по найму",0
"Нижегородская область","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",0
"Нижегородская область","Лицо","Работающие не по найму с привлечением наемных работников",0
"Нижегородская область","Лицо","Работающие не по найму без привлечения наемных работников",0
"Нижегородская область","Лицо","Работающие не по найму - иное",0
"Районы Нижегородской области","Лицо","Не указавшие положение в занятости",0
"Районы Нижегородской области","Лицо","Работающие по найму",0
"Районы Нижегородской области","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",0
"Районы Нижегородской области","Лицо","Работающие не по найму с привлечением наемных работников",0
"Районы Нижегородской области","Лицо","Работающие не по найму без привлечения наемных работников",0
"Районы Нижегородской области","Лицо","Работающие не по найму - иное",0
"Ардатовский район","Лицо","Не указавшие положение в занятости",19065
"Ардатовский район","Лицо","Работающие по найму",10807
"Ардатовский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",14
"Ардатовский район","Лицо","Работающие не по найму с привлечением наемных работников",48
"Ардатовский район","Лицо","Работающие не по найму без привлечения наемных работников",80
"Ардатовский район","Лицо","Работающие не по найму - иное",26
"Арзамасский район","Лицо","Не указавшие положение в занятости",29764
"Арзамасский район","Лицо","Работающие по найму",15465
"Арзамасский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",43
"Арзамасский район","Лицо","Работающие не по найму с привлечением наемных работников",140
"Арзамасский район","Лицо","Работающие не по найму без привлечения наемных работников",413
"Арзамасский район","Лицо","Работающие не по найму - иное",55
"Балахнинский район","Лицо","Не указавшие положение в занятости",15270
"Балахнинский район","Лицо","Работающие по найму",10563
"Балахнинский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",47
"Балахнинский район","Лицо","Работающие не по найму с привлечением наемных работников",116
"Балахнинский район","Лицо","Работающие не по найму без привлечения наемных работников",200
"Балахнинский район","Лицо","Работающие не по найму - иное",40
"Богородский район","Лицо","Не указавшие положение в занятости",17982
"Богородский район","Лицо","Работающие по найму",12178
"Богородский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",14
"Богородский район","Лицо","Работающие не по найму с привлечением наемных работников",80
"Богородский район","Лицо","Работающие не по найму без привлечения наемных работников",190
"Богородский район","Лицо","Работающие не по найму - иное",16
"Большеболдинский район","Лицо","Не указавшие положение в занятости",7675
"Большеболдинский район","Лицо","Работающие по найму",5180
"Большеболдинский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",8
"Большеболдинский район","Лицо","Работающие не по найму с привлечением наемных работников",21
"Большеболдинский район","Лицо","Работающие не по найму без привлечения наемных работников",83
"Большеболдинский район","Лицо","Работающие не по найму - иное",32
"Большемурашкинский район","Лицо","Не указавшие положение в занятости",6909
"Большемурашкинский район","Лицо","Работающие по найму",5319
"Большемурашкинский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",0
"Большемурашкинский район","Лицо","Работающие не по найму с привлечением наемных работников",46
"Большемурашкинский район","Лицо","Работающие не по найму без привлечения наемных работников",90
"Большемурашкинский район","Лицо","Работающие не по найму - иное",0
"Борский район","Лицо","Не указавшие положение в занятости",37024
"Борский район","Лицо","Работающие по найму",26199
"Борский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",33
"Борский район","Лицо","Работающие не по найму с привлечением наемных работников",203
"Борский район","Лицо","Работающие не по найму без привлечения наемных работников",319
"Борский район","Лицо","Работающие не по найму - иное",68
"Бутурлинский район","Лицо","Не указавшие положение в занятости",9458
"Бутурлинский район","Лицо","Работающие по найму",6677
"Бутурлинский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",0
"Бутурлинский район","Лицо","Работающие не по найму с привлечением наемных работников",35
"Бутурлинский район","Лицо","Работающие не по найму без привлечения наемных работников",124
"Бутурлинский район","Лицо","Работающие не по найму - иное",0
"Вадский район","Лицо","Не указавшие положение в занятости",8694
"Вадский район","Лицо","Работающие по найму",6642
"Вадский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",14
"Вадский район","Лицо","Работающие не по найму с привлечением наемных работников",38
"Вадский район","Лицо","Работающие не по найму без привлечения наемных работников",127
"Вадский район","Лицо","Работающие не по найму - иное",11
"Варнавинский район","Лицо","Не указавшие положение в занятости",6738
"Варнавинский район","Лицо","Работающие по найму",4909
"Варнавинский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",11
"Варнавинский район","Лицо","Работающие не по найму с привлечением наемных работников",30
"Варнавинский район","Лицо","Работающие не по найму без привлечения наемных работников",45
"Варнавинский район","Лицо","Работающие не по найму - иное",8
"Вачский район","Лицо","Не указавшие положение в занятости",14931
"Вачский район","Лицо","Работающие по найму",8239
"Вачский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",5
"Вачский район","Лицо","Работающие не по найму с привлечением наемных работников",46
"Вачский район","Лицо","Работающие не по найму без привлечения наемных работников",55
"Вачский район","Лицо","Работающие не по найму - иное",11
"Ветлужский район","Лицо","Не указавшие положение в занятости",11578
"Ветлужский район","Лицо","Работающие по найму",6857
"Ветлужский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",10
"Ветлужский район","Лицо","Работающие не по найму с привлечением наемных работников",80
"Ветлужский район","Лицо","Работающие не по найму без привлечения наемных работников",151
"Ветлужский район","Лицо","Работающие не по найму - иное",10
"Вознесенский район","Лицо","Не указавшие положение в занятости",12947
"Вознесенский район","Лицо","Работающие по найму",5681
"Вознесенский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",11
"Вознесенский район","Лицо","Работающие не по найму с привлечением наемных работников",43
"Вознесенский район","Лицо","Работающие не по найму без привлечения наемных работников",997
"Вознесенский район","Лицо","Работающие не по найму - иное",10
"Воротынский район","Лицо","Не указавшие положение в занятости",14732
"Воротынский район","Лицо","Работающие по найму",6548
"Воротынский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",33
"Воротынский район","Лицо","Работающие не по найму с привлечением наемных работников",88
"Воротынский район","Лицо","Работающие не по найму без привлечения наемных работников",145
"Воротынский район","Лицо","Работающие не по найму - иное",54
"Воскресенский район","Лицо","Не указавшие положение в занятости",17076
"Воскресенский район","Лицо","Работающие по найму",7694
"Воскресенский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",19
"Воскресенский район","Лицо","Работающие не по найму с привлечением наемных работников",123
"Воскресенский район","Лицо","Работающие не по найму без привлечения наемных работников",114
"Воскресенский район","Лицо","Работающие не по найму - иное",13
"Выксунский район","Лицо","Не указавшие положение в занятости",17271
"Выксунский район","Лицо","Работающие по найму",11942
"Выксунский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",56
"Выксунский район","Лицо","Работающие не по найму с привлечением наемных работников",78
"Выксунский район","Лицо","Работающие не по найму без привлечения наемных работников",119
