SuperWEB2(tm)

"Всероссийская перепись населения 2002 года"
"Лицо and Материал наружных стен дома by Наименование территориальной единицы"
"Counting: Лицо"

"Counting","Материал наружных стен дома","Наименование территориальной единицы",
"Лицо","Не указано","Краснодарский край",0
"Лицо","Не указано","Районы Краснодарского края",0
"Лицо","Не указано","Абинский район",1521
"Лицо","Не указано","Анапский район",1661
"Лицо","Не указано","Апшеронский район",1576
"Лицо","Не указано","Белоглинский район",351
"Лицо","Не указано","Белореченский район",558
"Лицо","Не указано","Брюховецкий район",554
"Лицо","Не указано","Выселковский район",837
"Лицо","Не указано","Гулькевичский район",2882
"Лицо","Не указано","Динской район",2827
"Лицо","Не указано","Ейский район",697
"Лицо","Не указано","Кавказский район",332
"Лицо","Не указано","Калининский район",282
"Лицо","Не указано","Каневский район",2827
"Лицо","Не указано","Кореновский район",1819
"Лицо","Не указано","Красноармейский район",1455
"Лицо","Не указано","Крыловский район",761
"Лицо","Не указано","Крымский район",1253
"Лицо","Не указано","Курганинский район",2656
"Лицо","Не указано","Кущевский район",1046
"Лицо","Не указано","Лабинский район",909
"Лицо","Не указано","Ленинградский район",2718
"Лицо","Не указано","Мостовский район",1784
"Лицо","Не указано","Новокубанский район",4042
"Лицо","Не указано","Новопокровский район",420
"Лицо","Не указано","Отрадненский район",1148
"Лицо","Не указано","Павловский район",1068
"Лицо","Не указано","Приморско-Ахтарский район",1233
"Лицо","Не указано","Северский район",2505
"Лицо","Не указано","Славянский район",733
"Лицо","Не указано","Староминский район",547
"Лицо","Не указано","Тбилисский район",807
"Лицо","Не указано","Темрюкский район",1929
"Лицо","Не указано","Тимашевский район",2055
"Лицо","Не указано","Тихорецкий район",856
"Лицо","Не указано","Туапсинский район",3644
"Лицо","Не указано","Успенский район",879
"Лицо","Не указано","Усть-Лабинский район",1587
"Лицо","Не указано","Щербиновский район",384
"Лицо","Не указано","Города краевого подчинения Краснодарского края",0
"Лицо","Не указано","г. Краснодар",59654
"Лицо","Не указано","Сельские населенные пункты, подчиненные администрации г. Анапа",2580
"Лицо","Не указано","г. Армавир",11097
"Лицо","Не указано","г. Белореченск",1646
"Лицо","Не указано","г. Геленджик",6384
"Лицо","Не указано","г. Горячий Ключ",1012
"Лицо","Не указано","г. Ейск",4566
"Лицо","Не указано","г. Кропоткин",1968
"Лицо","Не указано","г. Крымск",2312
"Лицо","Не указано","Сельские населенные пункты, подчиненные администрации г. Лабинска",2276
"Лицо","Не указано","г. Новороссийск",16369
"Лицо","Не указано","г. Славянск-на-Кубани",1707
"Лицо","Не указано","г. Сочи",38685
"Лицо","Не указано","г. Тихорецк",1612
"Лицо","Не указано","г. Туапсе",8134
"Лицо","Кирпич, камень","Краснодарский край",0
"Лицо","Кирпич, камень","Районы Краснодарского края",0
"Лицо","Кирпич, камень","Абинский район",32466
"Лицо","Кирпич, камень","Анапский район",27432
"Лицо","Кирпич, камень","Апшеронский район",33692
"Лицо","Кирпич, камень","Белоглинский район",19051
"Лицо","Кирпич, камень","Белореченский район",11955
"Лицо","Кирпич, камень","Брюховецкий район",25270
"Лицо","Кирпич, камень","Выселковский район",29007
"Лицо","Кирпич, камень","Гулькевичский район",60239
"Лицо","Кирпич, камень","Динской район",64553
"Лицо","Кирпич, камень","Ейский район",21158
"Лицо","Кирпич, камень","Кавказский район",25944
"Лицо","Кирпич, камень","Калининский район",22002
"Лицо","Кирпич, камень","Каневский район",36837
"Лицо","Кирпич, камень","Кореновский район",49145
"Лицо","Кирпич, камень","Красноармейский район",46642
"Лицо","Кирпич, камень","Крыловский район",16563
"Лицо","Кирпич, камень","Крымский район",19243
"Лицо","Кирпич, камень","Курганинский район",30667
"Лицо","Кирпич, камень","Кущевский район",33279
"Лицо","Кирпич, камень","Лабинский район",7510
"Лицо","Кирпич, камень","Ленинградский район",40359
"Лицо","Кирпич, камень","Мостовский район",11063
"Лицо","Кирпич, камень","Новокубанский район",45488
"Лицо","Кирпич, камень","Новопокровский район",25087
"Лицо","Кирпич, камень","Отрадненский район",23444
"Лицо","Кирпич, камень","Павловский район",28156
"Лицо","Кирпич, камень","Приморско-Ахтарский район",16626
"Лицо","Кирпич, камень","Северский район",45440
"Лицо","Кирпич, камень","Славянский район",23335
"Лицо","Кирпич, камень","Староминский район",16051
"Лицо","Кирпич, камень","Тбилисский район",34788
"Лицо","Кирпич, камень","Темрюкский район",57572
"Лицо","Кирпич, камень","Тимашевский район",57260
"Лицо","Кирпич, камень","Тихорецкий район",30239
"Лицо","Кирпич, камень","Туапсинский район",24889
"Лицо","Кирпич, камень","Успенский район",17564
"Лицо","Кирпич, камень","Усть-Лабинский район",71595
"Лицо","Кирпич, камень","Щербиновский район",18745
"Лицо","Кирпич, камень","Города краевого подчинения Краснодарского края",0
"Лицо","Кирпич, камень","г. Краснодар",369738
"Лицо","Кирпич, камень","Сельские населенные пункты, подчиненные администрации г. Анапа",19907
"Лицо","Кирпич, камень","г. Армавир",116638
"Лицо","Кирпич, камень","г. Белореченск",21492
"Лицо","Кирпич, камень","г. Геленджик",33788
