SuperWEB2(tm)

"Всероссийская перепись населения 2002 года"
"Лицо and Материал наружных стен дома by Наименование территориальной единицы"
"Counting: Лицо"

"Counting","Материал наружных стен дома","Наименование территориальной единицы",
"Лицо","Не указано","г. Сочи",0
"Лицо","Не указано","Населенные пункты, подчиненные администрации Адлерского района г.Сочи",0
"Лицо","Не указано","Населенные пункты, подчиненные администрации Лазаревского района г.Сочи",0
"Лицо","Не указано","Населенные пункты, подчиненные администрации Хостинского района г.Сочи",0
"Лицо","Не указано","г. Сочи с подчиненными его администрации населенными пунктами",0
"Лицо","Не указано","пгт. Красная Поляна с подчиненными его администрации населенными пунктами, находящийся в подчинении администрации Адлерского района г. Сочи",0
"Лицо","Не указано","Адлерский район г. Сочи с подчиненными его администрации населенными пунктами",0
"Лицо","Не указано","Лазаревский район г. Сочи с подчиненными его администрации населенными пунктами",0
"Лицо","Не указано","Хостинский район г. Сочи с подчиненными его администрации населенными пунктами",0
"Лицо","Не указано","г. Сочи с подчиненными непосредственно администрациям его районов населенными пунктами",0
"Лицо","Не указано","Районы г. Сочи",0
"Лицо","Не указано","Адлерский район",5247
"Лицо","Не указано","Лазаревский район",6522
"Лицо","Не указано","Хостинский район",8989
"Лицо","Не указано","Центральный район",14382
"Лицо","Не указано","Адлерский район г. Сочи с подчиненными непосредственно его администрации сельскими населенными пунктами",0
"Лицо","Не указано","Лазаревский район г. Сочи с подчиненными непосредственно его администрации сельскими населенными пунктами",0
"Лицо","Не указано","Хостинский район г. Сочи с подчиненными непосредственно его администрации сельскими населенными пунктами",0
"Лицо","Не указано","Поселки городского типа, подчиненные администрации Адлерского района г. Сочи",0
"Лицо","Не указано","Сельские населенные пункты, подчиненные администрации пгт. Красная Поляна, находящегося в подчинении администрации Адлерского района г. Сочи",203
"Лицо","Не указано","Населенные пункты, подчиненные администрации г. Сочи",0
"Лицо","Не указано","Сельские округа, подчиненные администрации Адлерского района г. Сочи",0
"Лицо","Не указано","Кудепстинский сельский округ",476
"Лицо","Не указано","Молдовский сельский округ",1030
"Лицо","Не указано","Нижнешиловский сельский округ",506
"Лицо","Не указано","Сельские округа, подчиненные администрации Лазаревского района г. Сочи",0
"Лицо","Не указано","Верхнелооский сельский округ",441
"Лицо","Не указано","Волковский сельский округ",219
"Лицо","Не указано","Кировский сельский округ",10
"Лицо","Не указано","Кичмайский сельский округ",31
"Лицо","Не указано","Лыготхский сельский округ",42
"Лицо","Не указано","Солохаульский сельский округ",7
"Лицо","Не указано","Сельские округа, подчиненные администрации Хостинского района г. Сочи",0
"Лицо","Не указано","Барановский сельский округ",480
"Лицо","Не указано","Раздольский сельский округ",108
"Лицо","Кирпич, камень","г. Сочи",0
"Лицо","Кирпич, камень","Населенные пункты, подчиненные администрации Адлерского района г.Сочи",0
"Лицо","Кирпич, камень","Населенные пункты, подчиненные администрации Лазаревского района г.Сочи",0
"Лицо","Кирпич, камень","Населенные пункты, подчиненные администрации Хостинского района г.Сочи",0
"Лицо","Кирпич, камень","г. Сочи с подчиненными его администрации населенными пунктами",0
"Лицо","Кирпич, камень","пгт. Красная Поляна с подчиненными его администрации населенными пунктами, находящийся в подчинении администрации Адлерского района г. Сочи",0
"Лицо","Кирпич, камень","Адлерский район г. Сочи с подчиненными его администрации населенными пунктами",0
"Лицо","Кирпич, камень","Лазаревский район г. Сочи с подчиненными его администрации населенными пунктами",0
"Лицо","Кирпич, камень","Хостинский район г. Сочи с подчиненными его администрации населенными пунктами",0
"Лицо","Кирпич, камень","г. Сочи с подчиненными непосредственно администрациям его районов населенными пунктами",0
"Лицо","Кирпич, камень","Районы г. Сочи",0
"Лицо","Кирпич, камень","Адлерский район",9075
"Лицо","Кирпич, камень","Лазаревский район",11025
"Лицо","Кирпич, камень","Хостинский район",11640
"Лицо","Кирпич, камень","Центральный район",22262
"Лицо","Кирпич, камень","Адлерский район г. Сочи с подчиненными непосредственно его администрации сельскими населенными пунктами",0
"Лицо","Кирпич, камень","Лазаревский район г. Сочи с подчиненными непосредственно его администрации сельскими населенными пунктами",0
"Лицо","Кирпич, камень","Хостинский район г. Сочи с подчиненными непосредственно его администрации сельскими населенными пунктами",0
"Лицо","Кирпич, камень","Поселки городского типа, подчиненные администрации Адлерского района г. Сочи",0
"Лицо","Кирпич, камень","Сельские населенные пункты, подчиненные администрации пгт. Красная Поляна, находящегося в подчинении администрации Адлерского района г. Сочи",945
"Лицо","Кирпич, камень","Населенные пункты, подчиненные администрации г. Сочи",0
"Лицо","Кирпич, камень","Сельские округа, подчиненные администрации Адлерского района г. Сочи",0
"Лицо","Кирпич, камень","Кудепстинский сельский округ",1058
"Лицо","Кирпич, камень","Молдовский сельский округ",2212
"Лицо","Кирпич, камень","Нижнешиловский сельский округ",2406
"Лицо","Кирпич, камень","Сельские округа, подчиненные администрации Лазаревского района г. Сочи",0
"Лицо","Кирпич, камень","Верхнелооский сельский округ",1119
"Лицо","Кирпич, камень","Волковский сельский округ",1598
"Лицо","Кирпич, камень","Кировский сельский округ",37
"Лицо","Кирпич, камень","Кичмайский сельский округ",231
"Лицо","Кирпич, камень","Лыготхский сельский округ",156
"Лицо","Кирпич, камень","Солохаульский сельский округ",144
"Лицо","Кирпич, камень","Сельские округа, подчиненные администрации Хостинского района г. Сочи",0
"Лицо","Кирпич, камень","Барановский сельский округ",1674
"Лицо","Кирпич, камень","Раздольский сельский округ",1678
"Лицо","Панель","г. Сочи",0
"Лицо","Панель","Населенные пункты, подчиненные администрации Адлерского района г.Сочи",0
"Лицо","Панель","Населенные пункты, подчиненные администрации Лазаревского района г.Сочи",0
"Лицо","Панель","Населенные пункты, подчиненные администрации Хостинского района г.Сочи",0
